query,intent
Can I see queued payments for our suppliers.,PENDING_STATEMENTS
"Get payments that haven't gone through yet above $10,000?",PENDING_STATEMENTS
List every payment that's still queued for client Johnson & Sons.,PENDING_STATEMENTS
Do I have any payments pending approval for our suppliers?,PENDING_STATEMENTS
What payments are waiting to be approved that are overdue for approval?,PENDING_STATEMENTS
I'm trying to view pending payment requests.,PENDING_STATEMENTS
I'd like a list of pending payments for this account?,PENDING_STATEMENTS
I'd like to check payments still under review for invoices.,PENDING_STATEMENTS
Show me payments set to be paid later that are still in draft.,PENDING_STATEMENTS
I'm trying to view payments that are still processing for the finance team.,PENDING_STATEMENTS
Can you check payments awaiting confirmation for the finance team.,PENDING_STATEMENTS
Give me payments awaiting processing.,PENDING_STATEMENTS
Can you list payments that are incomplete for vendor ABC Corp.,PENDING_STATEMENTS
I'm trying to check payments still queued awaiting my sign-off.,PENDING_STATEMENTS
List every payment that's still queued for account 4521.,PENDING_STATEMENTS
Pull payments in transit awaiting my sign-off?,PENDING_STATEMENTS
Please show payments in progress from this quarter?,PENDING_STATEMENTS
View scheduled payments for account number 778812.,PENDING_STATEMENTS
Which payments are still awaiting approval?,PENDING_STATEMENTS
Please show payments queued for processing for this week.,PENDING_STATEMENTS
Can I see payments that are still processing for the merchant account?,PENDING_STATEMENTS
Can you pull up unprocessed payments flagged as pending.,PENDING_STATEMENTS
Do I have any payments pending approval?,PENDING_STATEMENTS
I need a list of queued payments.,PENDING_STATEMENTS
Can you get me payments due to be processed in the approval queue.,PENDING_STATEMENTS
I'm trying to view payments set to be paid later that are awaiting manager sign-off.,PENDING_STATEMENTS
"I'm trying to check payments in progress above $10,000.",PENDING_STATEMENTS
Show me all transactions marked pending over $500.,PENDING_STATEMENTS
I'm trying to view payments not yet completed.,PENDING_STATEMENTS
View outstanding payments scheduled for tomorrow.,PENDING_STATEMENTS
Look up payments waiting for approval for payroll.,PENDING_STATEMENTS
I want a list of payments awaiting processing on hold.,PENDING_STATEMENTS
List payments awaiting approval due this week.,PENDING_STATEMENTS
Could you display payments that are on hold that are awaiting manager sign-off.,PENDING_STATEMENTS
Please show undisbursed payments over $1000.,PENDING_STATEMENTS
Pull up payments that are on hold over $500.,PENDING_STATEMENTS
Would you list payments that are on hold for our company?,PENDING_STATEMENTS
Would you show me payments that haven't gone through yet scheduled for next week.,PENDING_STATEMENTS
Do I have any pending transactions for the current billing cycle?,PENDING_STATEMENTS
I want a list of pending payment requests for payroll.,PENDING_STATEMENTS
Please show payments awaiting authorization that are overdue for approval.,PENDING_STATEMENTS
Can I view payments set to be paid later due today.,PENDING_STATEMENTS
Can you show me incomplete payments flagged as pending.,PENDING_STATEMENTS
Let me see payments still under review for our vendors.,PENDING_STATEMENTS
Could you display payments awaiting review for the procurement department.,PENDING_STATEMENTS
Could you show me pending payment requests for our suppliers.,PENDING_STATEMENTS
Check payments that are on hold due this week.,PENDING_STATEMENTS
Show me payments waiting to be processed in the system.,PENDING_STATEMENTS
I'm trying to check payments that are scheduled but not sent scheduled for tomorrow.,PENDING_STATEMENTS
Fetch open pending payments for account 4521.,PENDING_STATEMENTS
Look up incomplete payments in my queue.,PENDING_STATEMENTS
Please show payments that are scheduled but not sent that need approval.,PENDING_STATEMENTS
Can I see payments that are still open for the merchant account.,PENDING_STATEMENTS
What are the payments not yet disbursed for account 4521.,PENDING_STATEMENTS
Can you pull up payments not yet settled for account 4521.,PENDING_STATEMENTS
What are the payments awaiting authorization.,PENDING_STATEMENTS
Pull upcoming payments that are still in draft.,PENDING_STATEMENTS
Find undisbursed payments due today.,PENDING_STATEMENTS
What are the payments not yet completed awaiting my sign-off.,PENDING_STATEMENTS
List every payment that's still queued for this week.,PENDING_STATEMENTS
What payments are scheduled for later this month scheduled for next month?,PENDING_STATEMENTS
Kindly show me open pending payments in my queue.,PENDING_STATEMENTS
I'm trying to check payments awaiting review flagged as pending.,PENDING_STATEMENTS
Could you get in-progress payments due this week.,PENDING_STATEMENTS
Can I view payments that are still processing on the payments dashboard.,PENDING_STATEMENTS
Give me payments pending review.,PENDING_STATEMENTS
Could you show me payments not yet settled for vendor ABC Corp.,PENDING_STATEMENTS
Could you display payments in transit in the approval queue.,PENDING_STATEMENTS
Find payments that are still processing for the procurement department.,PENDING_STATEMENTS
Can you pull up payments not yet completed for the finance team.,PENDING_STATEMENTS
Retrieve payments awaiting authorization scheduled for next week.,PENDING_STATEMENTS
Can I get upcoming payments flagged as pending.,PENDING_STATEMENTS
I need to review payments that are still queued on the payments dashboard.,PENDING_STATEMENTS
"Are there any pending payments right now above $10,000?",PENDING_STATEMENTS
Pull payments that are incomplete due this week.,PENDING_STATEMENTS
Can you get me incomplete payments for today.,PENDING_STATEMENTS
Please show payments still pending under $200.,PENDING_STATEMENTS
Find pending payment requests on my account.,PENDING_STATEMENTS
Can I view payments still pending for our vendors.,PENDING_STATEMENTS
Could you get pending payments for this week.,PENDING_STATEMENTS
Can I see payments in transit under $200.,PENDING_STATEMENTS
Pull up unprocessed payments that need approval.,PENDING_STATEMENTS
I'm trying to view pending transaction statements in my queue.,PENDING_STATEMENTS
Are there any payments still awaiting approval?,PENDING_STATEMENTS
Can I view upcoming payments that are still in draft.,PENDING_STATEMENTS
Show me payments still under review due today.,PENDING_STATEMENTS
Can you list incomplete payments in the system.,PENDING_STATEMENTS
Could you get payments waiting on approval for this month.,PENDING_STATEMENTS
Let me see payments that are still open for our vendors?,PENDING_STATEMENTS
Can I view payments in a pending state awaiting my sign-off.,PENDING_STATEMENTS
Could you list payments awaiting approval on hold.,PENDING_STATEMENTS
Could you show me future-dated payments for this week.,PENDING_STATEMENTS
Show me payments scheduled for the future due tomorrow.,PENDING_STATEMENTS
Could you display payments awaiting confirmation over $500.,PENDING_STATEMENTS
I want a list of undisbursed payments over $1000.,PENDING_STATEMENTS
Can you check payments not yet cleared for invoices?,PENDING_STATEMENTS
I want to see pending payments in the approval queue.,PENDING_STATEMENTS
Could you display future-dated payments on my account.,PENDING_STATEMENTS
Please list payments that haven't been executed yet awaiting my sign-off.,PENDING_STATEMENTS
Would you show me payments pending review scheduled for next week.,PENDING_STATEMENTS
Retrieve pending payment statements in the approval queue.,PENDING_STATEMENTS
I want to see payments waiting for approval in my dashboard.,PENDING_STATEMENTS
Give me an overview of payments awaiting approval for this week.,PENDING_STATEMENTS
I'd like to check payments not yet settled for this month.,PENDING_STATEMENTS
Can you check payments yet to be processed for account 4521.,PENDING_STATEMENTS
Which payments are scheduled but not yet sent?,PENDING_STATEMENTS
Let me know what payments are still outstanding for vendor ABC Corp.,PENDING_STATEMENTS
I want to see payments in progress for our suppliers?,PENDING_STATEMENTS
I'm trying to view payments queued for processing that are awaiting manager sign-off.,PENDING_STATEMENTS
Which invoices have payments still pending?,PENDING_STATEMENTS
Which transactions are still pending flagged as pending?,PENDING_STATEMENTS
Kindly list pending payment requests for account 4521.,PENDING_STATEMENTS
Pull unprocessed payments on my account.,PENDING_STATEMENTS
What future-dated payments are on file flagged as pending?,PENDING_STATEMENTS
Please show me payments still queued tied to invoice #4521.,PENDING_STATEMENTS
What payments are currently pending awaiting my sign-off?,PENDING_STATEMENTS
What payments haven't gone through yet over $500?,PENDING_STATEMENTS
Bring up payments in a pending state in USD.,PENDING_STATEMENTS
Give me payments awaiting approval over $1000?,PENDING_STATEMENTS
Can I view payments awaiting review for our company.,PENDING_STATEMENTS
Could you get payments that are on hold for our vendors.,PENDING_STATEMENTS
Can you list payments yet to be processed for payroll.,PENDING_STATEMENTS
I want a list of payments still queued.,PENDING_STATEMENTS
Which invoices have payments still pending that are overdue for approval?,PENDING_STATEMENTS
Retrieve payments awaiting authorization for this account.,PENDING_STATEMENTS
Could you show me payments due to be processed for the procurement department.,PENDING_STATEMENTS
What's currently in my pending payments queue in my dashboard?,PENDING_STATEMENTS
Would you list undisbursed payments flagged as pending.,PENDING_STATEMENTS
What future-dated payments are on file?,PENDING_STATEMENTS
I'm trying to check pending payments due this week.,PENDING_STATEMENTS
Please show me unprocessed payments for this account.,PENDING_STATEMENTS
Pull payments that are still open for vendor ABC Corp.,PENDING_STATEMENTS
Kindly show me pending payment statements for account number 778812?,PENDING_STATEMENTS
I'd like to see pending transaction statements.,PENDING_STATEMENTS
I need a list of incomplete payments for account 4521.,PENDING_STATEMENTS
Can you show me payments queued for processing awaiting my sign-off.,PENDING_STATEMENTS
Look up payments in a pending state for account 4521.,PENDING_STATEMENTS
I need a list of payments not yet cleared for the finance team.,PENDING_STATEMENTS
"I want to see payments in a pending state above $10,000.",PENDING_STATEMENTS
Pull payments awaiting execution for the finance team.,PENDING_STATEMENTS
Could you display payments scheduled for the future for the merchant account.,PENDING_STATEMENTS
What's currently in my pending payments queue in my queue?,PENDING_STATEMENTS
"Can you check pending transaction statements above $10,000.",PENDING_STATEMENTS
I want a list of payments in a pending state that are awaiting manager sign-off.,PENDING_STATEMENTS
Kindly show me payments awaiting processing for this month.,PENDING_STATEMENTS
Can you check payments waiting to be processed from this quarter.,PENDING_STATEMENTS
I'd like to see payments that haven't been executed yet flagged as pending.,PENDING_STATEMENTS
I want to see payments that are scheduled but not sent for my account.,PENDING_STATEMENTS
I'd like a list of payments that haven't gone through yet in my queue?,PENDING_STATEMENTS
Give me a status report on pending payments flagged as pending.,PENDING_STATEMENTS
I'm trying to check pending payment statements.,PENDING_STATEMENTS
Give me payments not yet finalized scheduled for next week.,PENDING_STATEMENTS
Would you show me scheduled payments scheduled for tomorrow.,PENDING_STATEMENTS
Kindly show me payments awaiting processing for account number 778812.,PENDING_STATEMENTS
Fetch payments awaiting execution from this quarter?,PENDING_STATEMENTS
What upcoming payments do I have scheduled linked to project Alpha?,PENDING_STATEMENTS
I want a list of payments not yet settled on the payments dashboard.,PENDING_STATEMENTS
Can I view payments that haven't gone through yet for payroll.,PENDING_STATEMENTS
Can you get me future-dated payments on my account.,PENDING_STATEMENTS
Which payments are scheduled but not yet sent for last week?,PENDING_STATEMENTS
Would you list payments queued for processing due today.,PENDING_STATEMENTS
View payments waiting to be processed scheduled for tomorrow.,PENDING_STATEMENTS
Give me pending transaction statements due this week.,PENDING_STATEMENTS
I'm trying to view payments due to be processed scheduled for next week.,PENDING_STATEMENTS
Can I view payments waiting to be processed for this week?,PENDING_STATEMENTS
Can I get pending payment statements for this account.,PENDING_STATEMENTS
Find pending payment statements for this month.,PENDING_STATEMENTS
Bring up payments queued for processing.,PENDING_STATEMENTS
Kindly list unsettled payments awaiting my sign-off.,PENDING_STATEMENTS
Retrieve payments not yet disbursed for client Johnson & Sons.,PENDING_STATEMENTS
What payments are waiting to be approved in the approval queue?,PENDING_STATEMENTS
Look up pending transaction statements in the approval queue.,PENDING_STATEMENTS
What pending payments do I have?,PENDING_STATEMENTS
Retrieve pending payment statements for invoices.,PENDING_STATEMENTS
Could you show me scheduled payments scheduled for next month.,PENDING_STATEMENTS
I want a list of payments waiting for approval for our company.,PENDING_STATEMENTS
Get payments awaiting review linked to project Alpha.,PENDING_STATEMENTS
Would you list future-dated payments for invoices?,PENDING_STATEMENTS
I'd like to see payments that are still open for our suppliers.,PENDING_STATEMENTS
Check queued payments in the approval queue.,PENDING_STATEMENTS
Retrieve payments waiting on approval for client Johnson & Sons.,PENDING_STATEMENTS
Retrieve payments awaiting approval for client Johnson & Sons.,PENDING_STATEMENTS
Show me payments that are incomplete tied to invoice #4521.,PENDING_STATEMENTS
I'd like to check payments due to be processed for client Johnson & Sons.,PENDING_STATEMENTS
Please show payments waiting to be processed for account number 778812.,PENDING_STATEMENTS
I'm trying to view unsettled payments that are awaiting manager sign-off?,PENDING_STATEMENTS
Kindly show me pending transaction statements that need approval?,PENDING_STATEMENTS
Retrieve scheduled payments linked to project Alpha.,PENDING_STATEMENTS
Could you show me payments that are still processing for account 4521.,PENDING_STATEMENTS
Could you show me scheduled payments for last week.,PENDING_STATEMENTS
Would you show me payments queued for processing for payroll.,PENDING_STATEMENTS
I need a summary of pending payment activity.,PENDING_STATEMENTS
Bring up unprocessed payments in my dashboard.,PENDING_STATEMENTS
Display payments yet to be processed awaiting my sign-off.,PENDING_STATEMENTS
I need to check which payments are still pending that are still in draft.,PENDING_STATEMENTS
Do I have any pending transactions for client Johnson & Sons?,PENDING_STATEMENTS
Pull up payments waiting for approval due today.,PENDING_STATEMENTS
I want a list of payments that haven't been executed yet.,PENDING_STATEMENTS
Pull up pending payment requests on hold.,PENDING_STATEMENTS
List unprocessed payments over $1000.,PENDING_STATEMENTS
Can you check payments yet to be processed.,PENDING_STATEMENTS
Find payments awaiting processing for my account.,PENDING_STATEMENTS
Retrieve payments not yet settled in my dashboard.,PENDING_STATEMENTS
Can you get me payments that are on hold in my queue.,PENDING_STATEMENTS
Could you get payments in progress.,PENDING_STATEMENTS
Can I get payments awaiting review.,PENDING_STATEMENTS
Show me payments that are scheduled but not sent on my account?,PENDING_STATEMENTS
Kindly show me payments that are scheduled but not sent scheduled for next week.,PENDING_STATEMENTS
Can you check payments still pending in the approval queue.,PENDING_STATEMENTS
Which invoices have payments still pending for my account?,PENDING_STATEMENTS
Find open pending payments.,PENDING_STATEMENTS
I need to view payments still queued under $200.,PENDING_STATEMENTS
I want to see incomplete payments.,PENDING_STATEMENTS
Can you get me payments that are still open.,PENDING_STATEMENTS
Can I view payments that are still open for payroll.,PENDING_STATEMENTS
What are the payments awaiting review for our company?,PENDING_STATEMENTS
Get payments still pending due today.,PENDING_STATEMENTS
Get payments that are on hold in my dashboard.,PENDING_STATEMENTS
Fetch payments not yet finalized over $1000?,PENDING_STATEMENTS
Pull up in-progress payments on the payments dashboard.,PENDING_STATEMENTS
Could you display payments in progress for this week?,PENDING_STATEMENTS
I need a list of payments awaiting review for the current billing cycle.,PENDING_STATEMENTS
Could you get payments still pending for this month.,PENDING_STATEMENTS
Would you list payments not yet disbursed for my account?,PENDING_STATEMENTS
Kindly list payments that are still processing due this week.,PENDING_STATEMENTS
Pull payments not yet cleared due tomorrow?,PENDING_STATEMENTS
Please show payments still pending for our suppliers.,PENDING_STATEMENTS
Can you get me payments still under review tied to invoice #4521.,PENDING_STATEMENTS
Bring up payments awaiting authorization scheduled for next month.,PENDING_STATEMENTS
Look up payments not yet finalized tied to invoice #4521.,PENDING_STATEMENTS
Could you show me upcoming payments for this week?,PENDING_STATEMENTS
Fetch payments waiting to be processed for the procurement department.,PENDING_STATEMENTS
I want a list of payments that are on hold from this quarter.,PENDING_STATEMENTS
Could you display payments set to be paid later that are overdue for approval.,PENDING_STATEMENTS
Can you get me payments still awaiting execution for this account.,PENDING_STATEMENTS
Let me see payments awaiting review that are awaiting manager sign-off.,PENDING_STATEMENTS
Can I get payments waiting to be processed due today.,PENDING_STATEMENTS
What payments are waiting to be approved for vendor ABC Corp?,PENDING_STATEMENTS
I'd like a list of open pending payments for our vendors.,PENDING_STATEMENTS
I want to see pending payment statements scheduled for next month.,PENDING_STATEMENTS
What payments are currently pending?,PENDING_STATEMENTS
Give me incomplete payments.,PENDING_STATEMENTS
List payments not yet completed for client Johnson & Sons.,PENDING_STATEMENTS
Look up payments that haven't been executed yet due tomorrow.,PENDING_STATEMENTS
Bring up scheduled payments linked to project Alpha.,PENDING_STATEMENTS
Would you list payments awaiting authorization on hold.,PENDING_STATEMENTS
Can I view upcoming payments for last week.,PENDING_STATEMENTS
Look up payments awaiting execution due tomorrow.,PENDING_STATEMENTS
Can I get payments still queued in the approval queue.,PENDING_STATEMENTS
Can you show me payments awaiting processing for today.,PENDING_STATEMENTS
I want to see payments awaiting review for my account.,PENDING_STATEMENTS
I want a list of payments waiting for approval for this month.,PENDING_STATEMENTS
Kindly list scheduled payments under $200.,PENDING_STATEMENTS
I want a list of open pending payments in my dashboard.,PENDING_STATEMENTS
I need a summary of pending payment activity over $500.,PENDING_STATEMENTS
Pull payments that haven't been executed yet in USD?,PENDING_STATEMENTS
Can you list payments that haven't been executed yet for account number 778812.,PENDING_STATEMENTS
I'd like to check payments not yet completed on hold.,PENDING_STATEMENTS
Fetch open pending payments.,PENDING_STATEMENTS
Check upcoming payments due this week.,PENDING_STATEMENTS
Are there any pending payments right now?,PENDING_STATEMENTS
Can you check payments not yet completed.,PENDING_STATEMENTS
I'm trying to view in-progress payments for this account.,PENDING_STATEMENTS
Please list future-dated payments for our vendors.,PENDING_STATEMENTS
Can you get me payments not yet completed for this month.,PENDING_STATEMENTS
Could you show me payments that are still open tied to invoice #4521.,PENDING_STATEMENTS
Could you show me payments that haven't been executed yet.,PENDING_STATEMENTS
Fetch payments not yet completed for vendor ABC Corp.,PENDING_STATEMENTS
Can you check payments awaiting authorization due tomorrow.,PENDING_STATEMENTS
Which invoices have payments still pending due next week?,PENDING_STATEMENTS
Could you get payments that haven't been executed yet for today.,PENDING_STATEMENTS
Please show me payments not yet settled for the current billing cycle.,PENDING_STATEMENTS
I need to know what payments haven't cleared yet for vendor ABC Corp.,PENDING_STATEMENTS
I'd like to see queued payments on my account.,PENDING_STATEMENTS
Show me anything still marked as pending due tomorrow.,PENDING_STATEMENTS
Pull pending payment requests for invoices.,PENDING_STATEMENTS
What are the future-dated payments in my dashboard?,PENDING_STATEMENTS
Display payments queued for processing due this week.,PENDING_STATEMENTS
Can you check payments set to be paid later due today.,PENDING_STATEMENTS
List payments that are on hold flagged as pending?,PENDING_STATEMENTS
Can you get me payments pending approval from this quarter.,PENDING_STATEMENTS
Retrieve payments in transit due tomorrow.,PENDING_STATEMENTS
What are the in-progress payments on the payments dashboard.,PENDING_STATEMENTS
Can you check payments scheduled for the future for the procurement department?,PENDING_STATEMENTS
Please show payments that are incomplete for this week.,PENDING_STATEMENTS
Which transactions are still pending in my dashboard?,PENDING_STATEMENTS
Kindly list payments awaiting execution for the current billing cycle?,PENDING_STATEMENTS
Pull payments set to be paid later due next week.,PENDING_STATEMENTS
I'd like a list of payments not yet cleared linked to project Alpha.,PENDING_STATEMENTS
I want to see upcoming payments for invoices.,PENDING_STATEMENTS
Pull payments still pending scheduled for next month.,PENDING_STATEMENTS
Kindly list pending transaction statements for the procurement department.,PENDING_STATEMENTS
Retrieve payments set to be paid later over $500.,PENDING_STATEMENTS
Could you get open pending payments in USD.,PENDING_STATEMENTS
Which payments haven't been processed yet due today?,PENDING_STATEMENTS
Can I get outstanding payments for my account.,PENDING_STATEMENTS
Look up payments not yet cleared for this month.,PENDING_STATEMENTS
I'd like to see payments waiting on approval scheduled for next week.,PENDING_STATEMENTS
Can I get undisbursed payments for payroll.,PENDING_STATEMENTS
Can I get pending payment statements for our suppliers.,PENDING_STATEMENTS
Pull in-progress payments for this month.,PENDING_STATEMENTS
Get payments in progress.,PENDING_STATEMENTS
Can you pull up payments not yet completed under $200.,PENDING_STATEMENTS
Pull incomplete payments scheduled for tomorrow?,PENDING_STATEMENTS
What payments are still waiting on authorization?,PENDING_STATEMENTS
Kindly show me pending payment requests for vendor ABC Corp.,PENDING_STATEMENTS
Show me all transactions marked pending for vendor ABC Corp.,PENDING_STATEMENTS
Pull payments waiting on approval for the current billing cycle.,PENDING_STATEMENTS
Kindly show me payments awaiting review for account number 778812.,PENDING_STATEMENTS
Get incomplete payments for the finance team.,PENDING_STATEMENTS
I'm trying to check payments waiting for approval for payroll.,PENDING_STATEMENTS
Kindly list payments due to be processed on my account.,PENDING_STATEMENTS
Pull up payments queued for processing tied to invoice #4521.,PENDING_STATEMENTS
Could you show me undisbursed payments tied to invoice #4521.,PENDING_STATEMENTS
What are the queued payments for the current billing cycle.,PENDING_STATEMENTS
Kindly show me payments scheduled for the future linked to project Alpha.,PENDING_STATEMENTS
Can you pull up payments that haven't gone through yet in my queue.,PENDING_STATEMENTS
Let me see payments pending review for account 4521.,PENDING_STATEMENTS
Could you display payments pending approval for the finance team.,PENDING_STATEMENTS
View payments still awaiting execution on the payments dashboard.,PENDING_STATEMENTS
Could you get payments waiting on approval for payroll.,PENDING_STATEMENTS
I need to know what payments haven't cleared yet that are awaiting manager sign-off.,PENDING_STATEMENTS
Can I view payments still queued for my account.,PENDING_STATEMENTS
What are the payments yet to be processed for our suppliers.,PENDING_STATEMENTS
Can I see payments in transit.,PENDING_STATEMENTS
I'm trying to view payments pending review over $500.,PENDING_STATEMENTS
Could you display payments awaiting review for the current billing cycle.,PENDING_STATEMENTS
Look up payments awaiting confirmation for client Johnson & Sons.,PENDING_STATEMENTS
Can you list payments not yet disbursed for the merchant account.,PENDING_STATEMENTS
Show me all transactions marked pending for the current billing cycle.,PENDING_STATEMENTS
Could you show me payments not yet finalized on my account.,PENDING_STATEMENTS
Please list payments yet to be processed for the current billing cycle.,PENDING_STATEMENTS
I'm trying to check unprocessed payments for payroll.,PENDING_STATEMENTS
Kindly show me payments not yet cleared due this week.,PENDING_STATEMENTS
Look up pending payments for account 4521?,PENDING_STATEMENTS
I want to see unprocessed payments scheduled for next week.,PENDING_STATEMENTS
I need to view incomplete payments under $200.,PENDING_STATEMENTS
List unsettled payments due tomorrow.,PENDING_STATEMENTS
Would you show me payments awaiting approval scheduled for next month.,PENDING_STATEMENTS
View payments that haven't gone through yet due this week.,PENDING_STATEMENTS
Check in-progress payments from this quarter.,PENDING_STATEMENTS
What payments are scheduled for later this month?,PENDING_STATEMENTS
Do I have any payments pending approval for account 4521?,PENDING_STATEMENTS
What are the payments scheduled for the future in my queue.,PENDING_STATEMENTS
Pull up in-progress payments for this week.,PENDING_STATEMENTS
Bring up payments waiting on approval on hold.,PENDING_STATEMENTS
Find payments queued for processing for vendor ABC Corp.,PENDING_STATEMENTS
What payments are waiting to be approved due next week?,PENDING_STATEMENTS
I want to check on payments still awaiting processing flagged as pending.,PENDING_STATEMENTS
Kindly list open pending payments for the merchant account?,PENDING_STATEMENTS
I need a list of payments still awaiting execution awaiting my sign-off.,PENDING_STATEMENTS
Can I get payments in the queue that are still in draft.,PENDING_STATEMENTS
Bring up payments still pending.,PENDING_STATEMENTS
Do I have any pending transactions?,PENDING_STATEMENTS
Get pending payments scheduled for next week.,PENDING_STATEMENTS
I'd like to check payments in transit linked to project Alpha.,PENDING_STATEMENTS
I need to view payments awaiting confirmation for today.,PENDING_STATEMENTS
Check payments still under review on my account.,PENDING_STATEMENTS
What payments are waiting to be approved scheduled for tomorrow?,PENDING_STATEMENTS
What are the scheduled payments for payroll.,PENDING_STATEMENTS
What payments are still waiting on authorization for this week?,PENDING_STATEMENTS
Are there any pending payments right now tied to invoice #4521?,PENDING_STATEMENTS
Can you show me payments in a pending state for account number 778812.,PENDING_STATEMENTS
Display payments queued for processing under $200?,PENDING_STATEMENTS
Display undisbursed payments flagged as pending.,PENDING_STATEMENTS
View unsettled payments flagged as pending.,PENDING_STATEMENTS
Would you show me payments not yet finalized for the current billing cycle.,PENDING_STATEMENTS
Please show pending payment statements over $1000.,PENDING_STATEMENTS
Can you check payments waiting on approval due next week.,PENDING_STATEMENTS
Can I view payments in a pending state.,PENDING_STATEMENTS
I'd like to check payments pending approval scheduled for next week?,PENDING_STATEMENTS
Can I get pending payment requests for my account.,PENDING_STATEMENTS
What are the in-progress payments?,PENDING_STATEMENTS
Get payments not yet finalized from this quarter.,PENDING_STATEMENTS
Get payments that are scheduled but not sent under $200?,PENDING_STATEMENTS
I'd like a list of payments waiting on approval under $200.,PENDING_STATEMENTS
Find outstanding payments linked to project Alpha.,PENDING_STATEMENTS
What's still in the payment queue?,PENDING_STATEMENTS
Would you show me payments in transit that need approval?,PENDING_STATEMENTS
Could you display payments that are scheduled but not sent in USD.,PENDING_STATEMENTS
Pull up pending payments that need approval.,PENDING_STATEMENTS
Fetch payments scheduled for the future tied to invoice #4521.,PENDING_STATEMENTS
Pull payments awaiting authorization in the system?,PENDING_STATEMENTS
Can I see payments in a pending state for account 4521.,PENDING_STATEMENTS
Can I view payments that are scheduled but not sent.,PENDING_STATEMENTS
Kindly show me payments waiting to be processed that are overdue for approval.,PENDING_STATEMENTS
I want to see payments that are incomplete in my dashboard.,PENDING_STATEMENTS
Pull payments that are still processing.,PENDING_STATEMENTS
Can I get payments that haven't been executed yet scheduled for tomorrow.,PENDING_STATEMENTS
Bring up payments not yet completed for last week.,PENDING_STATEMENTS
