intent_code,text,amount,currency,beneficiary,account,method,time,reference,purpose
NEW_PAYMENT,"michael chen is expecting 75000 bucks tomorrow morning, can you send it",75000,bucks,michael chen,,,tomorrow morning,,
NEW_PAYMENT,"omar farouk — 300 INR, send whenever you can",300,INR,omar farouk,,,,,
NEW_PAYMENT,schedule NEFT to omar farouk tonight for 500 INR,500,INR,omar farouk,,NEFT,tonight,,
NEW_PAYMENT,"i owe the caterer 45k INR for refund, go ahead and send it",45k,INR,the caterer,,,,,refund
NEW_PAYMENT,can we push 250k bucks to our new hire now,250k,bucks,our new hire,,,,,
NEW_PAYMENT,"from my usd account, send around 20000 quid to the freelancer via online transfer",around 20000,quid,the freelancer,my usd account,online transfer,,,
NEW_PAYMENT,"anita desai needs the security deposit sorted before the weekend, send 45k GBP",45k,GBP,anita desai,,,before the weekend,,security deposit
NEW_PAYMENT,i need to get 500 bucks across to bluewave logistics,500,bucks,bluewave logistics,,,,,
NEW_PAYMENT,schedule internal transfer to david miller first thing tomorrow for around 20000 USD,around 20000,USD,david miller,,internal transfer,first thing tomorrow,,
NEW_PAYMENT,pls pay my landlord about 50k euros asap,about 50k,euros,my landlord,,,,,
NEW_PAYMENT,"can u send my landlord 1,200 USD","1,200",USD,my landlord,,,,,
NEW_PAYMENT,"from my primary account, send 45k INR to the marketing agency via IMPS",45k,INR,the marketing agency,my primary account,IMPS,,,
NEW_PAYMENT,"green energy pvt ltd's catering bill is due sometime this week, send 150,000 dollars","150,000",dollars,green energy pvt ltd,,,sometime this week,,catering bill
NEW_PAYMENT,"my cousin sent an invoice for overdue invoice, pay just over 8000 dollars",just over 8000,dollars,my cousin,,,,,overdue invoice
NEW_PAYMENT,"i need a ACH out to james lee for 15,000 bucks on 1st august","15,000",bucks,james lee,,ACH,on 1st august,,
NEW_PAYMENT,"debit my business checking account and send 62,000 dollars to the contractor","62,000",dollars,the contractor,my business checking account,,,,
NEW_PAYMENT,"from the account ending 4521, send 10000 quid to daniel cohen via RTGS",10000,quid,daniel cohen,the account ending 4521,RTGS,,,
NEW_PAYMENT,go ahead and wire 250k euros to the contractor,250k,euros,the contractor,,,,,
NEW_PAYMENT,transfer 2500 EUR to the plumber right now,2500,EUR,the plumber,,,,,
NEW_PAYMENT,"RTGS 25,000 EUR over to stellar consulting","25,000",EUR,stellar consulting,,RTGS,,,
NEW_PAYMENT,"pay riverside pharmacy 150,000 dollars from my business checking account for office supplies","150,000",dollars,riverside pharmacy,my business checking account,,,,office supplies
NEW_PAYMENT,"settle PO number 4471 with laura kim tomorrow morning, about 50k pounds",about 50k,pounds,laura kim,,,tomorrow morning,PO number 4471,
NEW_PAYMENT,"pay my landlord 150,000 dollars","150,000",dollars,my landlord,,,,,
NEW_PAYMENT,"pay fatima khan for security deposit, about 50k pounds, ref quote Q-8834",about 50k,pounds,fatima khan,,,,quote Q-8834,security deposit
NEW_PAYMENT,go ahead and wire just over 8000 euros to the electrician,just over 8000,euros,the electrician,,,,,
NEW_PAYMENT,set up an SWIFT from my current account to priya sharma for 300 USD,300,USD,priya sharma,my current account,SWIFT,,,
NEW_PAYMENT,"settle contract ref C-9081 with anita desai first thing tomorrow, 3.2k EUR",3.2k,EUR,anita desai,,,first thing tomorrow,contract ref C-9081,
NEW_PAYMENT,i'd like to make a payment to apex industries for 45k rupees,45k,rupees,apex industries,,,,,
NEW_PAYMENT,authorize 7.8k INR for crescent traders,7.8k,INR,crescent traders,,,,,
NEW_PAYMENT,make a payment,,,,,,,,
NEW_PAYMENT,bank transfer 2500 GBP over to my brother,2500,GBP,my brother,,bank transfer,,,
NEW_PAYMENT,can you NEFT 32000 USD to the plumber,32000,USD,the plumber,,NEFT,,,
NEW_PAYMENT,"harbor freight co sent an invoice for electricity bill, pay 2500 INR",2500,INR,harbor freight co,,,,,electricity bill
NEW_PAYMENT,apex industries needs 10000 quid sent over,10000,quid,apex industries,,,,,
NEW_PAYMENT,go ahead and wire 75000 INR to nova retail group,75000,INR,nova retail group,,,,,
NEW_PAYMENT,"sara ahmed sent an invoice for contractor payment, pay about 50k USD",about 50k,USD,sara ahmed,,,,,contractor payment
NEW_PAYMENT,"pls pay priya sharma 150,000 dollars asap","150,000",dollars,priya sharma,,,,,
NEW_PAYMENT,"i need a RTGS out to the printing shop for 1,200 bucks at 3pm","1,200",bucks,the printing shop,,RTGS,at 3pm,,
NEW_PAYMENT,authorize 100k bucks for evergreen foods,100k,bucks,evergreen foods,,,,,
NEW_PAYMENT,do a ACH of 7.8k bucks to the marketing agency,7.8k,bucks,the marketing agency,,ACH,,,
NEW_PAYMENT,"summit legal partners — 250k dollars, send whenever you can",250k,dollars,summit legal partners,,,,,
NEW_PAYMENT,"settle invoice number 7781 with bluewave logistics this evening, 300 euros",300,euros,bluewave logistics,,,this evening,invoice number 7781,
NEW_PAYMENT,"pay my accountant 25,000 quid","25,000",quid,my accountant,,,,,
NEW_PAYMENT,"set up an bank transfer from my primary account to the freelancer for 150,000 pounds","150,000",pounds,the freelancer,my primary account,bank transfer,,,
NEW_PAYMENT,"go ahead and pay contract ref C-9081, 20 grand EUR to david miller",20 grand,EUR,david miller,,,,contract ref C-9081,
NEW_PAYMENT,"the babysitter — 5k pounds, send whenever you can",5k,pounds,the babysitter,,,,,
NEW_PAYMENT,authorize 500 dollars for our lawyer,500,dollars,our lawyer,,,,,
NEW_PAYMENT,can u send the auditor 320000 dollars,320000,dollars,the auditor,,,,,
NEW_PAYMENT,don't forget crescent traders's payment before the weekend — 999 pounds,999,pounds,crescent traders,,,before the weekend,,
NEW_PAYMENT,"my sister's invoice payment is due on the 5th, send 18k USD",18k,USD,my sister,,,on the 5th,,invoice payment
NEW_PAYMENT,debit my business checking account and send 20 grand quid to my accountant,20 grand,quid,my accountant,my business checking account,,,,
NEW_PAYMENT,"1,200 pounds to the auditor, please","1,200",pounds,the auditor,,,,,
NEW_PAYMENT,"the courier company needs the monthly dues sorted at 3pm, send 45k bucks",45k,bucks,the courier company,,,at 3pm,,monthly dues
NEW_PAYMENT,"process the march invoice through SEPA, 10000 USD to james lee",10000,USD,james lee,,SEPA,,the march invoice,
NEW_PAYMENT,SWIFT around 20000 euros over to my landlord,around 20000,euros,my landlord,,SWIFT,,,
NEW_PAYMENT,"initiate internal transfer to the auditor for 7.8k quid, ref invoice INV-2291",7.8k,quid,the auditor,,internal transfer,,invoice INV-2291,
NEW_PAYMENT,i need to get 10000 dollars across to mei zhang,10000,dollars,mei zhang,,,,,
NEW_PAYMENT,"go ahead and pay PO number 4471, 500 USD to aisha rahman",500,USD,aisha rahman,,,,PO number 4471,
NEW_PAYMENT,"can u send the babysitter 25,000 GBP","25,000",GBP,the babysitter,,,,,
NEW_PAYMENT,can we push 999 dollars to apex industries now,999,dollars,apex industries,,,,,
NEW_PAYMENT,NEFT 300 quid over to emma watson,300,quid,emma watson,,NEFT,,,
NEW_PAYMENT,set up an NEFT from my primary account to summit legal partners for just over 8000 pounds,just over 8000,pounds,summit legal partners,my primary account,NEFT,,,
NEW_PAYMENT,can you get 45k EUR to the cleaning vendor tonight?,45k,EUR,the cleaning vendor,,,tonight,,
NEW_PAYMENT,"set up an online transfer from account number 003321 to emma watson for 15,000 INR","15,000",INR,emma watson,account number 003321,online transfer,,,
NEW_PAYMENT,pay my landlord 7.8k bucks from my business checking account for consulting fees,7.8k,bucks,my landlord,my business checking account,,,,consulting fees
NEW_PAYMENT,move 20 grand GBP out of the corporate account to stellar consulting at 3pm,20 grand,GBP,stellar consulting,the corporate account,,at 3pm,,
NEW_PAYMENT,authorize 2500 GBP for the plumber,2500,GBP,the plumber,,,,,
NEW_PAYMENT,"go ahead and pay the service agreement number, 7.8k dollars to fatima khan",7.8k,dollars,fatima khan,,,,the service agreement number,
NEW_PAYMENT,oceanic exports needs 250k rupees sent over,250k,rupees,oceanic exports,,,,,
NEW_PAYMENT,clear quote Q-8834 — pay the plumber 300 pounds,300,pounds,the plumber,,,,quote Q-8834,
NEW_PAYMENT,do a SEPA of 1.5 million pounds to natalie brown,1.5 million,pounds,natalie brown,,SEPA,,,
NEW_PAYMENT,debit the corporate account and send half a million GBP to our lawyer,half a million,GBP,our lawyer,the corporate account,,,,
NEW_PAYMENT,pay ironclad security services 18k quid from account number 003321 for legal fees,18k,quid,ironclad security services,account number 003321,,,,legal fees
NEW_PAYMENT,transfer 75000 EUR to maple leaf catering right now,75000,EUR,maple leaf catering,,,,,
NEW_PAYMENT,can u send raj patel 500 EUR,500,EUR,raj patel,,,,,
NEW_PAYMENT,pay oceanic exports 18k bucks from my business checking account for overdue invoice,18k,bucks,oceanic exports,my business checking account,,,,overdue invoice
NEW_PAYMENT,i need a bank transfer out to peter novak for 999 rupees sometime this week,999,rupees,peter novak,,bank transfer,sometime this week,,
NEW_PAYMENT,pls pay logistics partner around 20000 quid asap,around 20000,quid,logistics partner,,,,,
NEW_PAYMENT,"settle invoice INV-2291 with david miller before the weekend, 20 grand pounds",20 grand,pounds,david miller,,,before the weekend,invoice INV-2291,
NEW_PAYMENT,take around 20000 pounds from my business checking account and send to the auditor,around 20000,pounds,the auditor,my business checking account,,,,
NEW_PAYMENT,send 250k quid over to grand hotel,250k,quid,grand hotel,,,,,
NEW_PAYMENT,authorize 1.5 million EUR for xyz corp,1.5 million,EUR,xyz corp,,,,,
NEW_PAYMENT,use my primary account to pay stellar consulting 2500 bucks,2500,bucks,stellar consulting,my primary account,,,,
NEW_PAYMENT,"abc metals needs the reimbursement sorted first thing tomorrow, send 90000 quid",90000,quid,abc metals,,,first thing tomorrow,,reimbursement
NEW_PAYMENT,do a bank transfer of 45k euros to fatima khan,45k,euros,fatima khan,,bank transfer,,,
NEW_PAYMENT,"2.5 lakh GBP to ironclad security services, please",2.5 lakh,GBP,ironclad security services,,,,,
NEW_PAYMENT,go ahead and wire 100k dollars to summit legal partners,100k,dollars,summit legal partners,,,,,
NEW_PAYMENT,can you get 90000 quid to raj patel before the weekend?,90000,quid,raj patel,,,before the weekend,,
NEW_PAYMENT,i'd like to make a payment to my accountant for 300 rupees,300,rupees,my accountant,,,,,
NEW_PAYMENT,"finally paying off john smith for the electricity bill, 250k INR",250k,INR,john smith,,,,,electricity bill
NEW_PAYMENT,"quick payment - 25,000 USD for city hospital","25,000",USD,city hospital,,,,,
NEW_PAYMENT,"emma watson needs 150,000 pounds sent over","150,000",pounds,emma watson,,,,,
NEW_PAYMENT,"the freelancer needs paying on 1st august, 250k dollars",250k,dollars,the freelancer,,,on 1st august,,
NEW_PAYMENT,"my sister needs the rent sorted by friday, send about 50k pounds",about 50k,pounds,my sister,,,by friday,,rent
NEW_PAYMENT,pay our lawyer just over 8000 bucks,just over 8000,bucks,our lawyer,,,,,
NEW_PAYMENT,do a SWIFT of 3.2k dollars to my landlord,3.2k,dollars,my landlord,,SWIFT,,,
NEW_PAYMENT,schedule SEPA to james lee on 1st august for 2.5 lakh quid,2.5 lakh,quid,james lee,,SEPA,on 1st august,,
NEW_PAYMENT,"go ahead and pay contract ref C-9081, 320000 GBP to oceanic exports",320000,GBP,oceanic exports,,,,contract ref C-9081,
NEW_PAYMENT,remember to pay the plumber 32000 dollars on the 5th for the rent,32000,dollars,the plumber,,,on the 5th,,rent
NEW_PAYMENT,"debit my primary account and send 1,200 euros to tech solutions inc","1,200",euros,tech solutions inc,my primary account,,,,
NEW_PAYMENT,"gotta pay priya sharma 1,200 INR today","1,200",INR,priya sharma,,,,,
NEW_PAYMENT,"clear invoice INV-2291 — pay oceanic exports 150,000 INR","150,000",INR,oceanic exports,,,,invoice INV-2291,
NEW_PAYMENT,"oceanic exports's contractor payment is due first thing tomorrow, send 90000 INR",90000,INR,oceanic exports,,,first thing tomorrow,,contractor payment
NEW_PAYMENT,"settle the march invoice with grace liu on the 5th, 10000 rupees",10000,rupees,grace liu,,,on the 5th,the march invoice,
NEW_PAYMENT,"i owe my accountant 3.2k dollars for refund, go ahead and send it",3.2k,dollars,my accountant,,,,,refund
NEW_PAYMENT,"meridian software labs needs the contractor payment sorted right now, send 320000 quid",320000,quid,meridian software labs,,,right now,,contractor payment
NEW_PAYMENT,"priya sharma needs the legal fees sorted before the deadline, send half a million rupees",half a million,rupees,priya sharma,,,before the deadline,,legal fees
NEW_PAYMENT,move 90000 dollars out of my current account to the printing shop sometime this week,90000,dollars,the printing shop,my current account,,sometime this week,,
NEW_PAYMENT,schedule online transfer to orbit telecom first thing tomorrow for just over 8000 dollars,just over 8000,dollars,orbit telecom,,online transfer,first thing tomorrow,,
NEW_PAYMENT,don't forget green energy pvt ltd's payment immediately — 2500 GBP,2500,GBP,green energy pvt ltd,,,immediately,,
NEW_PAYMENT,pay evergreen foods 2.5 lakh bucks,2.5 lakh,bucks,evergreen foods,,,,,
NEW_PAYMENT,"pay out 300 euros to the courier company, tag it ref TXN88213",300,euros,the courier company,,,,ref TXN88213,
NEW_PAYMENT,i need to get around 20000 euros across to logistics partner,around 20000,euros,logistics partner,,,,,
NEW_PAYMENT,i want to pay someone,,,,,,,,
NEW_PAYMENT,send 250k EUR over to our new hire,250k,EUR,our new hire,,,,,
NEW_PAYMENT,"my brother's invoice payment is due before EOD, send 20 grand dollars",20 grand,dollars,my brother,,,before EOD,,invoice payment
NEW_PAYMENT,cover the cleaning vendor's freight charges with 2500 pounds,2500,pounds,the cleaning vendor,,,,,freight charges
NEW_PAYMENT,"orbit telecom needs the overdue invoice sorted before EOD, send 1.5 million rupees",1.5 million,rupees,orbit telecom,,,before EOD,,overdue invoice
NEW_PAYMENT,"the electrician is expecting around 20000 INR by month end, can you send it",around 20000,INR,the electrician,,,by month end,,
NEW_PAYMENT,settle the rent - just over 8000 bucks to bluewave logistics,just over 8000,bucks,bluewave logistics,,,,,rent
NEW_PAYMENT,"zenith freight needs 15,000 GBP sent over","15,000",GBP,zenith freight,,,,,
NEW_PAYMENT,can we push 18k euros to natalie brown now,18k,euros,natalie brown,,,,,
NEW_PAYMENT,"my accountant sent an invoice for overdue invoice, pay 250k USD",250k,USD,my accountant,,,,,overdue invoice
NEW_PAYMENT,"tom baker needs paying right now, 18k bucks",18k,bucks,tom baker,,,right now,,
NEW_PAYMENT,authorize 45k euros for the electrician,45k,euros,the electrician,,,,,
NEW_PAYMENT,i'd like to make a payment to logistics partner for 90000 bucks,90000,bucks,logistics partner,,,,,
NEW_PAYMENT,debit my primary account and send half a million bucks to summit legal partners,half a million,bucks,summit legal partners,my primary account,,,,
NEW_PAYMENT,pay evergreen foods 20 grand bucks from my primary account for monthly dues,20 grand,bucks,evergreen foods,my primary account,,,,monthly dues
NEW_PAYMENT,schedule RTGS to the printing shop tonight for 5k quid,5k,quid,the printing shop,,RTGS,tonight,,
NEW_PAYMENT,can u send priya sharma just over 8000 dollars,just over 8000,dollars,priya sharma,,,,,
NEW_PAYMENT,"pay the auditor for invoice payment, 62,000 EUR, ref invoice number 7781","62,000",EUR,the auditor,,,,invoice number 7781,invoice payment
NEW_PAYMENT,"set up an online transfer from the corporate account to dr. reyes for 62,000 dollars","62,000",dollars,dr. reyes,the corporate account,online transfer,,,
NEW_PAYMENT,can we push 300 rupees to apex industries now,300,rupees,apex industries,,,,,
NEW_PAYMENT,settle the invoice payment - 100k GBP to meridian software labs,100k,GBP,meridian software labs,,,,,invoice payment
NEW_PAYMENT,"my sister sent an invoice for freight charges, pay 75000 dollars",75000,dollars,my sister,,,,,freight charges
NEW_PAYMENT,send 2.5 lakh EUR over to harbor freight co,2.5 lakh,EUR,harbor freight co,,,,,
NEW_PAYMENT,can you get just over 8000 quid to the cleaning vendor by friday?,just over 8000,quid,the cleaning vendor,,,by friday,,
NEW_PAYMENT,"from the corporate account, send 320000 euros to my sister via ACH",320000,euros,my sister,the corporate account,ACH,,,
NEW_PAYMENT,"go ahead and pay the march invoice, 25,000 pounds to priya sharma","25,000",pounds,priya sharma,,,,the march invoice,
NEW_PAYMENT,"meridian software labs is expecting 25,000 EUR before the weekend, can you send it","25,000",EUR,meridian software labs,,,before the weekend,,
NEW_PAYMENT,can you get 90000 euros to city hospital tomorrow morning?,90000,euros,city hospital,,,tomorrow morning,,
NEW_PAYMENT,"go ahead and pay invoice INV-2291, just over 8000 bucks to carlos rivera",just over 8000,bucks,carlos rivera,,,,invoice INV-2291,
NEW_PAYMENT,pls pay evergreen foods 500 dollars asap,500,dollars,evergreen foods,,,,,
NEW_PAYMENT,"i owe crescent traders 250k pounds for deposit, go ahead and send it",250k,pounds,crescent traders,,,,,deposit
NEW_PAYMENT,"pay sunrise textiles's legal fees out of account number 003321, 1.5 million GBP",1.5 million,GBP,sunrise textiles,account number 003321,,,,legal fees
NEW_PAYMENT,"schedule NEFT to our landlord's agency first thing tomorrow for 25,000 pounds","25,000",pounds,our landlord's agency,,NEFT,first thing tomorrow,,
NEW_PAYMENT,schedule SWIFT to fatima khan right now for 10000 euros,10000,euros,fatima khan,,SWIFT,right now,,
NEW_PAYMENT,"just send laura kim 62,000 dollars already","62,000",dollars,laura kim,,,,,
NEW_PAYMENT,cover john smith's consulting fees with 90000 rupees,90000,rupees,john smith,,,,,consulting fees
NEW_PAYMENT,transfer 10000 bucks to the freelancer right now,10000,bucks,the freelancer,,,right now,,
NEW_PAYMENT,"pay out 7.8k EUR to omar farouk, tag it invoice INV-2291",7.8k,EUR,omar farouk,,,,invoice INV-2291,
NEW_PAYMENT,debit the joint account and send 500 dollars to abc metals,500,dollars,abc metals,the joint account,,,,
NEW_PAYMENT,"pay summit legal partners's loan repayment out of our operating account, 3.2k USD",3.2k,USD,summit legal partners,our operating account,,,,loan repayment
NEW_PAYMENT,take about 50k dollars from the account ending 4521 and send to peter novak,about 50k,dollars,peter novak,the account ending 4521,,,,
NEW_PAYMENT,"my sister needs 150,000 INR sent over","150,000",INR,my sister,,,,,
NEW_PAYMENT,just send zenith freight 320000 GBP already,320000,GBP,zenith freight,,,,,
NEW_PAYMENT,"initiate internal transfer to nova retail group for 300 INR, ref instruction id INS-556",300,INR,nova retail group,,internal transfer,,instruction id INS-556,
NEW_PAYMENT,"pay my sister's refund out of my current account, 2500 bucks",2500,bucks,my sister,my current account,,,,refund
NEW_PAYMENT,"pls pay apex industries 15,000 dollars asap","15,000",dollars,apex industries,,,,,
NEW_PAYMENT,gotta pay abc metals 300 bucks today,300,bucks,abc metals,,,,,
NEW_PAYMENT,"internal transfer 150,000 rupees over to daniel cohen","150,000",rupees,daniel cohen,,internal transfer,,,
NEW_PAYMENT,put through a payment of 90000 INR to james lee,90000,INR,james lee,,,,,
NEW_PAYMENT,"pay emma watson 25,000 EUR","25,000",EUR,emma watson,,,,,
NEW_PAYMENT,"bluewave logistics is expecting 3.2k INR tomorrow morning, can you send it",3.2k,INR,bluewave logistics,,,tomorrow morning,,
NEW_PAYMENT,move 75000 dollars out of my savings account to our lawyer immediately,75000,dollars,our lawyer,my savings account,,immediately,,
NEW_PAYMENT,"the printing shop needs the loan repayment sorted by month end, send 10000 EUR",10000,EUR,the printing shop,,,by month end,,loan repayment
NEW_PAYMENT,pay ironclad security services 3.2k USD from my business checking account for electricity bill,3.2k,USD,ironclad security services,my business checking account,,,,electricity bill
NEW_PAYMENT,pls pay james lee about 50k GBP asap,about 50k,GBP,james lee,,,,,
NEW_PAYMENT,"settle PO number 4471 with james lee on the 5th, 90000 bucks",90000,bucks,james lee,,,on the 5th,PO number 4471,
NEW_PAYMENT,move around 20000 USD out of the corporate account to aisha rahman on the 5th,around 20000,USD,aisha rahman,the corporate account,,on the 5th,,
NEW_PAYMENT,move 3.2k INR out of my primary account to mei zhang right now,3.2k,INR,mei zhang,my primary account,,right now,,
NEW_PAYMENT,use the joint account to pay bluewave logistics 32000 rupees,32000,rupees,bluewave logistics,the joint account,,,,
NEW_PAYMENT,move 2.5 lakh quid out of account number 003321 to john smith first thing tomorrow,2.5 lakh,quid,john smith,account number 003321,,first thing tomorrow,,
NEW_PAYMENT,use the account ending 4521 to pay pinnacle construction 3.2k euros,3.2k,euros,pinnacle construction,the account ending 4521,,,,
NEW_PAYMENT,i'd like to make a payment to emma watson for 2.5 lakh INR,2.5 lakh,INR,emma watson,,,,,
NEW_PAYMENT,"gotta pay green energy pvt ltd 15,000 bucks today","15,000",bucks,green energy pvt ltd,,,,,
NEW_PAYMENT,settle the software subscription - 20 grand USD to my accountant,20 grand,USD,my accountant,,,,,software subscription
NEW_PAYMENT,debit the corporate account and send 999 rupees to david miller,999,rupees,david miller,the corporate account,,,,
NEW_PAYMENT,"abc metals is expecting 20 grand bucks by friday, can you send it",20 grand,bucks,abc metals,,,by friday,,
NEW_PAYMENT,"pay the caterer's office supplies out of account number 003321, 10000 GBP",10000,GBP,the caterer,account number 003321,,,,office supplies
NEW_PAYMENT,quick payment - 18k rupees for peter novak,18k,rupees,peter novak,,,,,
NEW_PAYMENT,don't forget tom baker's payment this evening — 45k euros,45k,euros,tom baker,,,this evening,,
NEW_PAYMENT,i want 2500 GBP sent to our new hire,2500,GBP,our new hire,,,,,
NEW_PAYMENT,pls pay pinnacle construction 10000 pounds asap,10000,pounds,pinnacle construction,,,,,
NEW_PAYMENT,"pls pay the cleaning vendor 62,000 euros asap","62,000",euros,the cleaning vendor,,,,,
NEW_PAYMENT,"zenith freight needs paying before the weekend, around 20000 rupees",around 20000,rupees,zenith freight,,,before the weekend,,
NEW_PAYMENT,settle the electricity bill - 250k dollars to orbit telecom,250k,dollars,orbit telecom,,,,,electricity bill
NEW_PAYMENT,"pay natalie brown's security deposit out of my current account, 3.2k GBP",3.2k,GBP,natalie brown,my current account,,,,security deposit
NEW_PAYMENT,just send the cleaning vendor just over 8000 pounds already,just over 8000,pounds,the cleaning vendor,,,,,
NEW_PAYMENT,"150,000 dollars to apex industries, please","150,000",dollars,apex industries,,,,,
NEW_PAYMENT,"the contractor needs the legal fees sorted tomorrow morning, send 15,000 dollars","15,000",dollars,the contractor,,,tomorrow morning,,legal fees
NEW_PAYMENT,"settle invoice INV-2291 with tom baker before the deadline, 250k EUR",250k,EUR,tom baker,,,before the deadline,invoice INV-2291,
NEW_PAYMENT,settle the monthly dues - 10000 pounds to sunrise textiles,10000,pounds,sunrise textiles,,,,,monthly dues
NEW_PAYMENT,"process instruction id INS-556 through online transfer, 100k USD to city hospital",100k,USD,city hospital,,online transfer,,instruction id INS-556,
NEW_PAYMENT,"can we push 15,000 rupees to my brother now","15,000",rupees,my brother,,,,,
NEW_PAYMENT,can u send meridian software labs 3.2k euros,3.2k,euros,meridian software labs,,,,,
NEW_PAYMENT,"process invoice INV-2291 through bank transfer, around 20000 quid to the plumber",around 20000,quid,the plumber,,bank transfer,,invoice INV-2291,
NEW_PAYMENT,quick payment - 500 quid for our landlord's agency,500,quid,our landlord's agency,,,,,
NEW_PAYMENT,put through a payment of just over 8000 USD to tom baker,just over 8000,USD,tom baker,,,,,
NEW_PAYMENT,"carlos rivera is expecting half a million quid on the 5th, can you send it",half a million,quid,carlos rivera,,,on the 5th,,
NEW_PAYMENT,"i need a ACH out to nova retail group for 150,000 dollars before the weekend","150,000",dollars,nova retail group,,ACH,before the weekend,,
NEW_PAYMENT,"i need to get 15,000 dollars across to orbit telecom","15,000",dollars,orbit telecom,,,,,
NEW_PAYMENT,bluewave logistics needs 10000 quid sent over,10000,quid,bluewave logistics,,,,,
NEW_PAYMENT,move 75000 EUR out of the joint account to oceanic exports on 1st august,75000,EUR,oceanic exports,the joint account,,on 1st august,,
NEW_PAYMENT,i need to get 100k bucks across to raj patel,100k,bucks,raj patel,,,,,
NEW_PAYMENT,"the courier company needs paying sometime this week, 75000 bucks",75000,bucks,the courier company,,,sometime this week,,
NEW_PAYMENT,"from account number 003321, send 300 quid to nova retail group via wire transfer",300,quid,nova retail group,account number 003321,wire transfer,,,
NEW_PAYMENT,wire transfer 2.5 lakh USD over to delta enterprises,2.5 lakh,USD,delta enterprises,,wire transfer,,,
NEW_PAYMENT,"logistics partner is expecting 45k rupees before EOD, can you send it",45k,rupees,logistics partner,,,before EOD,,
NEW_PAYMENT,"transfer 150,000 pounds to my cousin right now","150,000",pounds,my cousin,,,,,
NEW_PAYMENT,gotta pay delta enterprises 300 dollars today,300,dollars,delta enterprises,,,,,
NEW_PAYMENT,can u send dr. reyes 5k INR,5k,INR,dr. reyes,,,,,
NEW_PAYMENT,schedule RTGS to the electrician end of day for 5k pounds,5k,pounds,the electrician,,RTGS,end of day,,
NEW_PAYMENT,ACH 2500 GBP over to mei zhang,2500,GBP,mei zhang,,ACH,,,
NEW_PAYMENT,settle the overdue invoice - 90000 EUR to the babysitter,90000,EUR,the babysitter,,,,,overdue invoice
NEW_PAYMENT,pay our intern 320000 USD from my business checking account for consulting fees,320000,USD,our intern,my business checking account,,,,consulting fees
NEW_PAYMENT,take 300 EUR from the joint account and send to the courier company,300,EUR,the courier company,the joint account,,,,
NEW_PAYMENT,quick payment - 5k EUR for ironclad security services,5k,EUR,ironclad security services,,,,,
NEW_PAYMENT,"apex industries sent an invoice for legal fees, pay around 20000 bucks",around 20000,bucks,apex industries,,,,,legal fees
