intent_code,text,reference,beneficiary,amount,currency,account,time,reason,status
CANCEL_PAYMENT,is the awaiting approval payment to green energy pvt ltd still cancellable,,green energy pvt ltd,,,,,,awaiting approval
CANCEL_PAYMENT,cancel the payment to grand hotel,,grand hotel,,,,,,
CANCEL_PAYMENT,"cancel priya sharma's payment, payment id PMT-4471",payment id PMT-4471,priya sharma,,,,,,
CANCEL_PAYMENT,is the processing payment to our supplier still cancellable,,our supplier,,,,,,processing
CANCEL_PAYMENT,remove order id ORD-7712 from the queue,order id ORD-7712,,,,,,,
CANCEL_PAYMENT,undo the 5000 EUR payment to the electricity board,,the electricity board,5000,EUR,,,,
CANCEL_PAYMENT,"please stop payment instruction id INS-556, no longer needed",instruction id INS-556,,,,,,no longer needed,
CANCEL_PAYMENT,cancel the payment to our supplier,,our supplier,,,,,,
CANCEL_PAYMENT,remove payment id PMT-4471 from the queue,payment id PMT-4471,,,,,,,
CANCEL_PAYMENT,cancel the payment to xyz corp,,xyz corp,,,,,,
CANCEL_PAYMENT,stop the awaiting approval transfer,,,,,,,,awaiting approval
CANCEL_PAYMENT,revoke reference number REF3321,reference number REF3321,,,,,,,
CANCEL_PAYMENT,"cancel xyz corp's payment, transaction id TXN88213",transaction id TXN88213,xyz corp,,,,,,
CANCEL_PAYMENT,cancel the processing payment from my current account,,,,,my current account,,,processing
CANCEL_PAYMENT,cancel the payment to green energy pvt ltd,,green energy pvt ltd,,,,,,
CANCEL_PAYMENT,can you delete instruction id INS-556,instruction id INS-556,,,,,,,
CANCEL_PAYMENT,"please stop payment transaction id TXN88213, sent by mistake",transaction id TXN88213,,,,,,sent by mistake,
CANCEL_PAYMENT,cancel payment payment id PMT-4471,payment id PMT-4471,,,,,,,
CANCEL_PAYMENT,"cancel the payment to the electricity board, no longer needed",,the electricity board,,,,,no longer needed,
CANCEL_PAYMENT,cancel the 25000 EUR transfer,,,25000,EUR,,,,
CANCEL_PAYMENT,cancel payment transaction id TXN88213,transaction id TXN88213,,,,,,,
CANCEL_PAYMENT,is the awaiting approval payment to the insurance company still cancellable,,the insurance company,,,,,,awaiting approval
CANCEL_PAYMENT,remove reference number REF3321 from the queue,reference number REF3321,,,,,,,
CANCEL_PAYMENT,"cancel john smith's payment, instruction id INS-556",instruction id INS-556,john smith,,,,,,
CANCEL_PAYMENT,can you delete reference number REF3321,reference number REF3321,,,,,,,
CANCEL_PAYMENT,revoke payment id PMT-4471,payment id PMT-4471,,,,,,,
CANCEL_PAYMENT,cancel the 150000 EUR transfer,,,150000,EUR,,,,
CANCEL_PAYMENT,cancel the payment to delta enterprises,,delta enterprises,,,,,,
CANCEL_PAYMENT,"please stop payment instruction id INS-556, duplicate payment",instruction id INS-556,,,,,,duplicate payment,
CANCEL_PAYMENT,cancel the 5000 euros transfer,,,5000,euros,,,,
CANCEL_PAYMENT,"stop the awaiting approval payment, wrong amount",,,,,,,wrong amount,awaiting approval
CANCEL_PAYMENT,cancel my pending transaction payment id PMT-4471,payment id PMT-4471,,,,,,,pending
CANCEL_PAYMENT,"cancel grand hotel's payment, transaction id TXN88213",transaction id TXN88213,grand hotel,,,,,,
CANCEL_PAYMENT,is the scheduled payment to anita desai still cancellable,,anita desai,,,,,,scheduled
CANCEL_PAYMENT,cancel my processing transaction instruction id INS-556,instruction id INS-556,,,,,,,processing
CANCEL_PAYMENT,cancel the 250000 pounds transfer,,,250000,pounds,,,,
CANCEL_PAYMENT,cancel my processing transaction transaction id TXN88213,transaction id TXN88213,,,,,,,processing
CANCEL_PAYMENT,"cancel the payment to green energy pvt ltd, wrong currency",,green energy pvt ltd,,,,,wrong currency,
CANCEL_PAYMENT,"please stop payment invoice INV-2291, incorrect account number",invoice INV-2291,,,,,,incorrect account number,
CANCEL_PAYMENT,revoke order id ORD-7712,order id ORD-7712,,,,,,,
CANCEL_PAYMENT,is the pending payment to our supplier still cancellable,,our supplier,,,,,,pending
CANCEL_PAYMENT,"stop the scheduled payment, sent by mistake",,,,,,,sent by mistake,scheduled
CANCEL_PAYMENT,"cancel the payment to anita desai, sent by mistake",,anita desai,,,,,sent by mistake,
CANCEL_PAYMENT,"cancel green energy pvt ltd's payment, instruction id INS-556",instruction id INS-556,green energy pvt ltd,,,,,,
CANCEL_PAYMENT,is the awaiting approval payment to priya sharma still cancellable,,priya sharma,,,,,,awaiting approval
CANCEL_PAYMENT,remove invoice INV-2291 from the queue,invoice INV-2291,,,,,,,
CANCEL_PAYMENT,can you delete order id ORD-7712,order id ORD-7712,,,,,,,
CANCEL_PAYMENT,cancel my processing transaction payment id PMT-4471,payment id PMT-4471,,,,,,,processing
CANCEL_PAYMENT,cancel the 75000 INR transfer,,,75000,INR,,,,
CANCEL_PAYMENT,cancel the 45000 rupees transfer,,,45000,rupees,,,,
CANCEL_PAYMENT,"cancel the payment to tech solutions inc, sent by mistake",,tech solutions inc,,,,,sent by mistake,
CANCEL_PAYMENT,is the scheduled payment to priya sharma still cancellable,,priya sharma,,,,,,scheduled
CANCEL_PAYMENT,"cancel the payment to delta enterprises, wrong beneficiary",,delta enterprises,,,,,wrong beneficiary,
CANCEL_PAYMENT,"please stop payment invoice INV-2291, wrong beneficiary",invoice INV-2291,,,,,,wrong beneficiary,
CANCEL_PAYMENT,"stop the pending payment, vendor cancelled the order",,,,,,,vendor cancelled the order,pending
CANCEL_PAYMENT,"cancel the payment to delta enterprises, no longer needed",,delta enterprises,,,,,no longer needed,
CANCEL_PAYMENT,"cancel john smith's payment, reference number REF3321",reference number REF3321,john smith,,,,,,
CANCEL_PAYMENT,cancel the 5000 GBP transfer,,,5000,GBP,,,,
CANCEL_PAYMENT,cancel the payment to michael chen,,michael chen,,,,,,
CANCEL_PAYMENT,is the processing payment to priya sharma still cancellable,,priya sharma,,,,,,processing
CANCEL_PAYMENT,cancel the payment to our supplier due next monday,,our supplier,,,,due next monday,,
CANCEL_PAYMENT,"cancel delta enterprises's payment, instruction id INS-556",instruction id INS-556,delta enterprises,,,,,,
CANCEL_PAYMENT,cancel the 75000 rupees transfer,,,75000,rupees,,,,
CANCEL_PAYMENT,"stop the pending payment, no longer needed",,,,,,,no longer needed,pending
CANCEL_PAYMENT,"cancel the payment to green energy pvt ltd, sent by mistake",,green energy pvt ltd,,,,,sent by mistake,
CANCEL_PAYMENT,cancel the 150000 INR transfer,,,150000,INR,,,,
CANCEL_PAYMENT,cancel the 15000 euros transfer,,,15000,euros,,,,
CANCEL_PAYMENT,cancel the 7800 dollars transfer,,,7800,dollars,,,,
CANCEL_PAYMENT,cancel the 5000 pounds transfer,,,5000,pounds,,,,
CANCEL_PAYMENT,"withdraw instruction id INS-556, vendor cancelled the order",instruction id INS-556,,,,,,vendor cancelled the order,
CANCEL_PAYMENT,"please stop payment order id ORD-7712, changed my mind",order id ORD-7712,,,,,,changed my mind,
CANCEL_PAYMENT,"please stop payment payment id PMT-4471, wrong currency",payment id PMT-4471,,,,,,wrong currency,
CANCEL_PAYMENT,cancel the payment to delta enterprises from this morning,,delta enterprises,,,,from this morning,,
CANCEL_PAYMENT,"cancel the landlord's payment, instruction id INS-556",instruction id INS-556,the landlord,,,,,,
CANCEL_PAYMENT,"cancel the payment to anita desai, incorrect account number",,anita desai,,,,,incorrect account number,
CANCEL_PAYMENT,"cancel michael chen's payment, transaction id TXN88213",transaction id TXN88213,michael chen,,,,,,
CANCEL_PAYMENT,cancel the payment to the insurance company scheduled for tomorrow,,the insurance company,,,,scheduled for tomorrow,,
CANCEL_PAYMENT,is the pending payment to anita desai still cancellable,,anita desai,,,,,,pending
CANCEL_PAYMENT,"withdraw order id ORD-7712, no longer needed",order id ORD-7712,,,,,,no longer needed,
CANCEL_PAYMENT,"withdraw instruction id INS-556, no longer needed",instruction id INS-556,,,,,,no longer needed,
CANCEL_PAYMENT,undo the 15000 dollars payment to xyz corp,,xyz corp,15000,dollars,,,,
CANCEL_PAYMENT,"cancel the payment to the landlord, changed my mind",,the landlord,,,,,changed my mind,
CANCEL_PAYMENT,cancel the 32000 INR transfer,,,32000,INR,,,,
CANCEL_PAYMENT,"withdraw order id ORD-7712, sent by mistake",order id ORD-7712,,,,,,sent by mistake,
CANCEL_PAYMENT,cancel my queued transaction instruction id INS-556,instruction id INS-556,,,,,,,queued
CANCEL_PAYMENT,cancel the 32000 USD transfer,,,32000,USD,,,,
CANCEL_PAYMENT,is the scheduled payment to the landlord still cancellable,,the landlord,,,,,,scheduled
CANCEL_PAYMENT,"cancel tech solutions inc's payment, invoice INV-2291",invoice INV-2291,tech solutions inc,,,,,,
CANCEL_PAYMENT,"please stop payment invoice INV-2291, sent by mistake",invoice INV-2291,,,,,,sent by mistake,
CANCEL_PAYMENT,is the processing payment to grand hotel still cancellable,,grand hotel,,,,,,processing
CANCEL_PAYMENT,cancel the 32000 rupees transfer,,,32000,rupees,,,,
CANCEL_PAYMENT,is the scheduled payment to xyz corp still cancellable,,xyz corp,,,,,,scheduled
CANCEL_PAYMENT,"stop the queued payment, wrong currency",,,,,,,wrong currency,queued
CANCEL_PAYMENT,please cancel my pending payment of 5000 INR to michael chen,,michael chen,5000,INR,,,,pending
CANCEL_PAYMENT,cancel the queued payment from the account ending 4521,,,,,the account ending 4521,,,queued
CANCEL_PAYMENT,please cancel my payment of 25000 USD to michael chen,,michael chen,25000,USD,,,,
CANCEL_PAYMENT,cancel the payment to tech solutions inc scheduled for tomorrow,,tech solutions inc,,,,scheduled for tomorrow,,
CANCEL_PAYMENT,"withdraw invoice INV-2291, wrong currency",invoice INV-2291,,,,,,wrong currency,
CANCEL_PAYMENT,"stop the queued payment, changed my mind",,,,,,,changed my mind,queued
CANCEL_PAYMENT,is the queued payment to anita desai still cancellable,,anita desai,,,,,,queued
CANCEL_PAYMENT,"withdraw order id ORD-7712, duplicate payment",order id ORD-7712,,,,,,duplicate payment,
CANCEL_PAYMENT,cancel my scheduled transaction instruction id INS-556,instruction id INS-556,,,,,,,scheduled
CANCEL_PAYMENT,"withdraw instruction id INS-556, wrong currency",instruction id INS-556,,,,,,wrong currency,
CANCEL_PAYMENT,"cancel the payment to anita desai, no longer needed",,anita desai,,,,,no longer needed,
CANCEL_PAYMENT,"cancel the electricity board's payment, reference number REF3321",reference number REF3321,the electricity board,,,,,,
CANCEL_PAYMENT,please cancel my payment of 100000 dollars to oceanic exports,,oceanic exports,100000,dollars,,,,
CANCEL_PAYMENT,cancel the scheduled payment from the corporate account,,,,,the corporate account,,,scheduled
CANCEL_PAYMENT,"please stop payment reference number REF3321, incorrect account number",reference number REF3321,,,,,,incorrect account number,
CANCEL_PAYMENT,"withdraw reference number REF3321, duplicate payment",reference number REF3321,,,,,,duplicate payment,
CANCEL_PAYMENT,undo the 75000 rupees payment to delta enterprises,,delta enterprises,75000,rupees,,,,
CANCEL_PAYMENT,cancel my awaiting approval transaction invoice INV-2291,invoice INV-2291,,,,,,,awaiting approval
CANCEL_PAYMENT,"cancel michael chen's payment, order id ORD-7712",order id ORD-7712,michael chen,,,,,,
CANCEL_PAYMENT,is the queued payment to priya sharma still cancellable,,priya sharma,,,,,,queued
CANCEL_PAYMENT,cancel the 1200 GBP transfer,,,1200,GBP,,,,
CANCEL_PAYMENT,cancel the 500 euros transfer,,,500,euros,,,,
CANCEL_PAYMENT,"stop the awaiting approval payment, sent by mistake",,,,,,,sent by mistake,awaiting approval
CANCEL_PAYMENT,"cancel the payment to the insurance company, duplicate payment",,the insurance company,,,,,duplicate payment,
CANCEL_PAYMENT,cancel the pending payment from my usd account,,,,,my usd account,,,pending
CANCEL_PAYMENT,"cancel xyz corp's payment, payment id PMT-4471",payment id PMT-4471,xyz corp,,,,,,
CANCEL_PAYMENT,undo the 250000 USD payment to priya sharma,,priya sharma,250000,USD,,,,
CANCEL_PAYMENT,cancel my queued transaction transaction id TXN88213,transaction id TXN88213,,,,,,,queued
CANCEL_PAYMENT,"stop the pending payment, sent by mistake",,,,,,,sent by mistake,pending
CANCEL_PAYMENT,"stop the awaiting approval payment, wrong currency",,,,,,,wrong currency,awaiting approval
CANCEL_PAYMENT,"cancel the payment to the insurance company, incorrect account number",,the insurance company,,,,,incorrect account number,
CANCEL_PAYMENT,"cancel the payment to the landlord, duplicate payment",,the landlord,,,,,duplicate payment,
CANCEL_PAYMENT,undo the 7800 EUR payment to anita desai,,anita desai,7800,EUR,,,,
CANCEL_PAYMENT,cancel the 250000 dollars transfer,,,250000,dollars,,,,
CANCEL_PAYMENT,"cancel priya sharma's payment, transaction id TXN88213",transaction id TXN88213,priya sharma,,,,,,
CANCEL_PAYMENT,cancel the 45000 dollars transfer,,,45000,dollars,,,,
CANCEL_PAYMENT,cancel the payment to grand hotel scheduled for today,,grand hotel,,,,scheduled for today,,
CANCEL_PAYMENT,"cancel the insurance company's payment, transaction id TXN88213",transaction id TXN88213,the insurance company,,,,,,
CANCEL_PAYMENT,"cancel the payment to anita desai, vendor cancelled the order",,anita desai,,,,,vendor cancelled the order,
CANCEL_PAYMENT,cancel the 500 pounds transfer,,,500,pounds,,,,
CANCEL_PAYMENT,cancel the payment to oceanic exports dated the 5th,,oceanic exports,,,,dated the 5th,,
CANCEL_PAYMENT,"please stop payment order id ORD-7712, sent by mistake",order id ORD-7712,,,,,,sent by mistake,
CANCEL_PAYMENT,"please stop payment instruction id INS-556, changed my mind",instruction id INS-556,,,,,,changed my mind,
CANCEL_PAYMENT,is the scheduled payment to the electricity board still cancellable,,the electricity board,,,,,,scheduled
CANCEL_PAYMENT,please cancel my payment of 250000 USD to anita desai,,anita desai,250000,USD,,,,
CANCEL_PAYMENT,"withdraw invoice INV-2291, vendor cancelled the order",invoice INV-2291,,,,,,vendor cancelled the order,
CANCEL_PAYMENT,cancel the 10000 pounds transfer,,,10000,pounds,,,,
CANCEL_PAYMENT,"stop the processing payment, wrong beneficiary",,,,,,,wrong beneficiary,processing
CANCEL_PAYMENT,"stop the queued payment, no longer needed",,,,,,,no longer needed,queued
CANCEL_PAYMENT,"cancel the payment to michael chen, incorrect account number",,michael chen,,,,,incorrect account number,
CANCEL_PAYMENT,"cancel grand hotel's payment, invoice INV-2291",invoice INV-2291,grand hotel,,,,,,
CANCEL_PAYMENT,cancel my awaiting approval transaction transaction id TXN88213,transaction id TXN88213,,,,,,,awaiting approval
CANCEL_PAYMENT,undo the 62000 euros payment to john smith,,john smith,62000,euros,,,,
CANCEL_PAYMENT,undo the 7800 USD payment to john smith,,john smith,7800,USD,,,,
CANCEL_PAYMENT,undo the 2500 USD payment to priya sharma,,priya sharma,2500,USD,,,,
CANCEL_PAYMENT,"cancel the payment to oceanic exports, no longer needed",,oceanic exports,,,,,no longer needed,
CANCEL_PAYMENT,cancel the 250000 EUR transfer,,,250000,EUR,,,,
CANCEL_PAYMENT,"cancel tech solutions inc's payment, transaction id TXN88213",transaction id TXN88213,tech solutions inc,,,,,,
CANCEL_PAYMENT,is the awaiting approval payment to grand hotel still cancellable,,grand hotel,,,,,,awaiting approval
CANCEL_PAYMENT,"cancel the payment to priya sharma, vendor cancelled the order",,priya sharma,,,,,vendor cancelled the order,
CANCEL_PAYMENT,undo the 150000 EUR payment to the insurance company,,the insurance company,150000,EUR,,,,
CANCEL_PAYMENT,"cancel the payment to the electricity board, changed my mind",,the electricity board,,,,,changed my mind,
CANCEL_PAYMENT,please cancel my payment of 45000 euros to john smith,,john smith,45000,euros,,,,
CANCEL_PAYMENT,is the awaiting approval payment to xyz corp still cancellable,,xyz corp,,,,,,awaiting approval
CANCEL_PAYMENT,cancel the 25000 GBP transfer,,,25000,GBP,,,,
CANCEL_PAYMENT,"stop the queued payment, duplicate payment",,,,,,,duplicate payment,queued
CANCEL_PAYMENT,cancel the 10000 INR transfer,,,10000,INR,,,,
CANCEL_PAYMENT,cancel the processing payment from my usd account,,,,,my usd account,,,processing
CANCEL_PAYMENT,"cancel grand hotel's payment, instruction id INS-556",instruction id INS-556,grand hotel,,,,,,
CANCEL_PAYMENT,is the processing payment to anita desai still cancellable,,anita desai,,,,,,processing
CANCEL_PAYMENT,"cancel the payment to oceanic exports, wrong currency",,oceanic exports,,,,,wrong currency,
CANCEL_PAYMENT,undo the 500 USD payment to green energy pvt ltd,,green energy pvt ltd,500,USD,,,,
CANCEL_PAYMENT,"cancel the insurance company's payment, payment id PMT-4471",payment id PMT-4471,the insurance company,,,,,,
CANCEL_PAYMENT,cancel the 100000 GBP transfer,,,100000,GBP,,,,
CANCEL_PAYMENT,cancel the 10000 rupees transfer,,,10000,rupees,,,,
CANCEL_PAYMENT,"withdraw reference number REF3321, wrong beneficiary",reference number REF3321,,,,,,wrong beneficiary,
CANCEL_PAYMENT,cancel the 5000 EUR transfer,,,5000,EUR,,,,
CANCEL_PAYMENT,cancel the 250000 USD transfer,,,250000,USD,,,,
CANCEL_PAYMENT,"stop the scheduled payment, duplicate payment",,,,,,,duplicate payment,scheduled
CANCEL_PAYMENT,cancel the processing payment from the corporate account,,,,,the corporate account,,,processing
CANCEL_PAYMENT,please cancel my payment of 250000 euros to delta enterprises,,delta enterprises,250000,euros,,,,
CANCEL_PAYMENT,is the scheduled payment to our supplier still cancellable,,our supplier,,,,,,scheduled
CANCEL_PAYMENT,cancel my scheduled transaction transaction id TXN88213,transaction id TXN88213,,,,,,,scheduled
CANCEL_PAYMENT,cancel the 1200 rupees transfer,,,1200,rupees,,,,
CANCEL_PAYMENT,cancel the 500 EUR transfer,,,500,EUR,,,,
CANCEL_PAYMENT,is the processing payment to tech solutions inc still cancellable,,tech solutions inc,,,,,,processing
CANCEL_PAYMENT,cancel the 150000 euros transfer,,,150000,euros,,,,
CANCEL_PAYMENT,is the processing payment to john smith still cancellable,,john smith,,,,,,processing
CANCEL_PAYMENT,is the pending payment to the landlord still cancellable,,the landlord,,,,,,pending
CANCEL_PAYMENT,please cancel my pending payment of 62000 EUR to our supplier,,our supplier,62000,EUR,,,,pending
CANCEL_PAYMENT,cancel the 2500 GBP transfer,,,2500,GBP,,,,
CANCEL_PAYMENT,"cancel the payment to the insurance company, wrong amount",,the insurance company,,,,,wrong amount,
CANCEL_PAYMENT,"cancel the insurance company's payment, order id ORD-7712",order id ORD-7712,the insurance company,,,,,,
CANCEL_PAYMENT,cancel my scheduled transaction payment id PMT-4471,payment id PMT-4471,,,,,,,scheduled
CANCEL_PAYMENT,"cancel the payment to tech solutions inc, incorrect account number",,tech solutions inc,,,,,incorrect account number,
CANCEL_PAYMENT,is the scheduled payment to grand hotel still cancellable,,grand hotel,,,,,,scheduled
CANCEL_PAYMENT,"withdraw transaction id TXN88213, duplicate payment",transaction id TXN88213,,,,,,duplicate payment,
CANCEL_PAYMENT,cancel the 5000 rupees transfer,,,5000,rupees,,,,
CANCEL_PAYMENT,cancel the 1200 pounds transfer,,,1200,pounds,,,,
CANCEL_PAYMENT,cancel the payment to the electricity board due next monday,,the electricity board,,,,due next monday,,
CANCEL_PAYMENT,please cancel my payment of 62000 EUR to oceanic exports,,oceanic exports,62000,EUR,,,,
CANCEL_PAYMENT,"cancel the payment to anita desai, wrong beneficiary",,anita desai,,,,,wrong beneficiary,
CANCEL_PAYMENT,cancel my awaiting approval transaction instruction id INS-556,instruction id INS-556,,,,,,,awaiting approval
CANCEL_PAYMENT,cancel the 150000 rupees transfer,,,150000,rupees,,,,
CANCEL_PAYMENT,"stop the queued payment, wrong beneficiary",,,,,,,wrong beneficiary,queued
CANCEL_PAYMENT,cancel the 15000 dollars transfer,,,15000,dollars,,,,
CANCEL_PAYMENT,"withdraw invoice INV-2291, changed my mind",invoice INV-2291,,,,,,changed my mind,
CANCEL_PAYMENT,"withdraw order id ORD-7712, vendor cancelled the order",order id ORD-7712,,,,,,vendor cancelled the order,
CANCEL_PAYMENT,please cancel my payment of 62000 dollars to michael chen,,michael chen,62000,dollars,,,,
CANCEL_PAYMENT,please cancel my payment of 25000 GBP to priya sharma,,priya sharma,25000,GBP,,,,
CANCEL_PAYMENT,cancel the payment to the electricity board scheduled for today,,the electricity board,,,,scheduled for today,,
CANCEL_PAYMENT,cancel my processing transaction invoice INV-2291,invoice INV-2291,,,,,,,processing
CANCEL_PAYMENT,"cancel the payment to our supplier, changed my mind",,our supplier,,,,,changed my mind,
CANCEL_PAYMENT,"please stop payment invoice INV-2291, wrong amount",invoice INV-2291,,,,,,wrong amount,
CANCEL_PAYMENT,cancel the 5000 dollars transfer,,,5000,dollars,,,,
CANCEL_PAYMENT,cancel the queued payment from the corporate account,,,,,the corporate account,,,queued
CANCEL_PAYMENT,cancel the queued payment from my usd account,,,,,my usd account,,,queued
CANCEL_PAYMENT,cancel the processing payment from account number 003321,,,,,account number 003321,,,processing
CANCEL_PAYMENT,"stop the scheduled payment, wrong beneficiary",,,,,,,wrong beneficiary,scheduled
CANCEL_PAYMENT,undo the 150000 INR payment to green energy pvt ltd,,green energy pvt ltd,150000,INR,,,,
CANCEL_PAYMENT,"stop the queued payment, wrong amount",,,,,,,wrong amount,queued
CANCEL_PAYMENT,cancel the 10000 EUR transfer,,,10000,EUR,,,,
CANCEL_PAYMENT,cancel the 250000 rupees transfer,,,250000,rupees,,,,
CANCEL_PAYMENT,"cancel the landlord's payment, payment id PMT-4471",payment id PMT-4471,the landlord,,,,,,
CANCEL_PAYMENT,undo the 150000 GBP payment to delta enterprises,,delta enterprises,150000,GBP,,,,
CANCEL_PAYMENT,is the processing payment to michael chen still cancellable,,michael chen,,,,,,processing
CANCEL_PAYMENT,is the queued payment to john smith still cancellable,,john smith,,,,,,queued
CANCEL_PAYMENT,is the queued payment to the landlord still cancellable,,the landlord,,,,,,queued
CANCEL_PAYMENT,is the queued payment to tech solutions inc still cancellable,,tech solutions inc,,,,,,queued
CANCEL_PAYMENT,is the processing payment to the landlord still cancellable,,the landlord,,,,,,processing
CANCEL_PAYMENT,"please stop payment transaction id TXN88213, incorrect account number",transaction id TXN88213,,,,,,incorrect account number,
CANCEL_PAYMENT,undo the 15000 rupees payment to grand hotel,,grand hotel,15000,rupees,,,,
CANCEL_PAYMENT,cancel the 62000 euros transfer,,,62000,euros,,,,
CANCEL_PAYMENT,"please stop payment payment id PMT-4471, incorrect account number",payment id PMT-4471,,,,,,incorrect account number,
CANCEL_PAYMENT,cancel the 32000 pounds transfer,,,32000,pounds,,,,
CANCEL_PAYMENT,cancel the 100000 pounds transfer,,,100000,pounds,,,,
CANCEL_PAYMENT,cancel the 7800 rupees transfer,,,7800,rupees,,,,
CANCEL_PAYMENT,is the pending payment to green energy pvt ltd still cancellable,,green energy pvt ltd,,,,,,pending
CANCEL_PAYMENT,"stop the queued payment, incorrect account number",,,,,,,incorrect account number,queued
CANCEL_PAYMENT,"please stop payment transaction id TXN88213, wrong currency",transaction id TXN88213,,,,,,wrong currency,
CANCEL_PAYMENT,please cancel my payment of 500 rupees to delta enterprises,,delta enterprises,500,rupees,,,,
CANCEL_PAYMENT,cancel the 1200 USD transfer,,,1200,USD,,,,
CANCEL_PAYMENT,is the queued payment to oceanic exports still cancellable,,oceanic exports,,,,,,queued
CANCEL_PAYMENT,please cancel my payment of 150000 euros to grand hotel,,grand hotel,150000,euros,,,,
CANCEL_PAYMENT,is the pending payment to oceanic exports still cancellable,,oceanic exports,,,,,,pending
CANCEL_PAYMENT,cancel the 75000 EUR transfer,,,75000,EUR,,,,
CANCEL_PAYMENT,cancel my pending transaction transaction id TXN88213,transaction id TXN88213,,,,,,,pending
CANCEL_PAYMENT,"stop the pending payment, wrong amount",,,,,,,wrong amount,pending
CANCEL_PAYMENT,"withdraw invoice INV-2291, wrong amount",invoice INV-2291,,,,,,wrong amount,
CANCEL_PAYMENT,cancel the 15000 INR transfer,,,15000,INR,,,,
CANCEL_PAYMENT,cancel my queued transaction reference number REF3321,reference number REF3321,,,,,,,queued
CANCEL_PAYMENT,cancel the payment to delta enterprises due next monday,,delta enterprises,,,,due next monday,,
CANCEL_PAYMENT,cancel the 150000 GBP transfer,,,150000,GBP,,,,
CANCEL_PAYMENT,"stop the scheduled payment, wrong amount",,,,,,,wrong amount,scheduled
CANCEL_PAYMENT,cancel the scheduled payment from my current account,,,,,my current account,,,scheduled
CANCEL_PAYMENT,cancel the 100000 euros transfer,,,100000,euros,,,,
CANCEL_PAYMENT,"cancel green energy pvt ltd's payment, payment id PMT-4471",payment id PMT-4471,green energy pvt ltd,,,,,,
CANCEL_PAYMENT,is the processing payment to oceanic exports still cancellable,,oceanic exports,,,,,,processing
CANCEL_PAYMENT,"cancel delta enterprises's payment, payment id PMT-4471",payment id PMT-4471,delta enterprises,,,,,,
