intent_code,text,template,amount,currency,beneficiary,account,time,reference
PAY_FROM_TEMPLATE,"the utility bills template for the landlord is due, go ahead and run it",utility bills template,,,the landlord,,,
PAY_FROM_TEMPLATE,"the internet bill template for cloud software inc is due, go ahead and run it",internet bill template,,,cloud software inc,,,
PAY_FROM_TEMPLATE,run the annual maintenance template tagged invoice INV-2291,annual maintenance template,,,,,,invoice INV-2291
PAY_FROM_TEMPLATE,can you run my freight charges template now,freight charges template,,,,,,
PAY_FROM_TEMPLATE,i want to use my standing insurance premium template,insurance premium template,,,,,,
PAY_FROM_TEMPLATE,run the tax payment template,tax payment template,,,,,,
PAY_FROM_TEMPLATE,use my annual maintenance template to pay tech solutions inc,annual maintenance template,,,tech solutions inc,,,
PAY_FROM_TEMPLATE,fire off the freight charges template,freight charges template,,,,,,
PAY_FROM_TEMPLATE,use my office rent template to pay xyz corp,office rent template,,,xyz corp,,,
PAY_FROM_TEMPLATE,execute my saved tax payment template,tax payment template,,,,,,
PAY_FROM_TEMPLATE,use my subscription template to pay the landlord,subscription template,,,the landlord,,,
PAY_FROM_TEMPLATE,can you run my insurance premium template now,insurance premium template,,,,,,
PAY_FROM_TEMPLATE,use insurance premium template but bump the amount up to 15000 GBP,insurance premium template,15000,GBP,,,,
PAY_FROM_TEMPLATE,use my utility bills template to pay oceanic exports,utility bills template,,,oceanic exports,,,
PAY_FROM_TEMPLATE,pay from insurance premium template but change the amount to 18000 GBP,insurance premium template,18000,GBP,,,,
PAY_FROM_TEMPLATE,can you run my tax payment template now,tax payment template,,,,,,
PAY_FROM_TEMPLATE,execute my saved subscription template,subscription template,,,,,,
PAY_FROM_TEMPLATE,use my rent payment template to pay green energy pvt ltd,rent payment template,,,green energy pvt ltd,,,
PAY_FROM_TEMPLATE,pay xyz corp using the vendor payment template,vendor payment template,,,xyz corp,,,
PAY_FROM_TEMPLATE,i want to use my standing subscription template,subscription template,,,,,,
PAY_FROM_TEMPLATE,fire off the vendor payment template,vendor payment template,,,,,,
PAY_FROM_TEMPLATE,pay the insurance company using the annual maintenance template,annual maintenance template,,,the insurance company,,,
PAY_FROM_TEMPLATE,fire off the rent payment template,rent payment template,,,,,,
PAY_FROM_TEMPLATE,pay the electricity board using the loan emi template,loan emi template,,,the electricity board,,,
PAY_FROM_TEMPLATE,"the loan emi template for xyz corp is due, go ahead and run it",loan emi template,,,xyz corp,,,
PAY_FROM_TEMPLATE,"the annual maintenance template for green energy pvt ltd is due, go ahead and run it",annual maintenance template,,,green energy pvt ltd,,,
PAY_FROM_TEMPLATE,fire off the insurance premium template,insurance premium template,,,,,,
PAY_FROM_TEMPLATE,use the saved utility bills template to pay the landlord at the end of the month,utility bills template,,,the landlord,,at the end of the month,
PAY_FROM_TEMPLATE,i want to use my standing office rent template,office rent template,,,,,,
PAY_FROM_TEMPLATE,i want to use my standing loan emi template,loan emi template,,,,,,
PAY_FROM_TEMPLATE,go ahead with the freight charges template,freight charges template,,,,,,
PAY_FROM_TEMPLATE,pay from office rent template but change the amount to 10000 INR,office rent template,10000,INR,,,,
PAY_FROM_TEMPLATE,"the insurance premium template for green energy pvt ltd is due, go ahead and run it",insurance premium template,,,green energy pvt ltd,,,
PAY_FROM_TEMPLATE,use the saved vendor payment template to pay tech solutions inc on the 1st of next month,vendor payment template,,,tech solutions inc,,on the 1st of next month,
PAY_FROM_TEMPLATE,run the loan emi template,loan emi template,,,,,,
PAY_FROM_TEMPLATE,trigger the tax payment template this friday,tax payment template,,,,,this friday,
PAY_FROM_TEMPLATE,"the subscription template for the telecom provider is due, go ahead and run it",subscription template,,,the telecom provider,,,
PAY_FROM_TEMPLATE,pay oceanic exports using the utility bills template,utility bills template,,,oceanic exports,,,
PAY_FROM_TEMPLATE,fire off the subscription template,subscription template,,,,,,
PAY_FROM_TEMPLATE,use the tax payment template for the electricity board but make it 100000 GBP,tax payment template,100000,GBP,the electricity board,,,
PAY_FROM_TEMPLATE,pay the insurance company using the internet bill template,internet bill template,,,the insurance company,,,
PAY_FROM_TEMPLATE,pay oceanic exports using the vendor payment template,vendor payment template,,,oceanic exports,,,
PAY_FROM_TEMPLATE,execute my saved freight charges template,freight charges template,,,,,,
PAY_FROM_TEMPLATE,use my tax payment template to pay xyz corp,tax payment template,,,xyz corp,,,
PAY_FROM_TEMPLATE,i want to use my standing freight charges template,freight charges template,,,,,,
PAY_FROM_TEMPLATE,use the saved insurance premium template to pay cloud software inc tomorrow,insurance premium template,,,cloud software inc,,tomorrow,
PAY_FROM_TEMPLATE,use my freight charges template to pay oceanic exports,freight charges template,,,oceanic exports,,,
PAY_FROM_TEMPLATE,pay oceanic exports using the internet bill template,internet bill template,,,oceanic exports,,,
PAY_FROM_TEMPLATE,use tax payment template but bump the amount up to 32000 INR,tax payment template,32000,INR,,,,
PAY_FROM_TEMPLATE,pay cloud software inc using the subscription template,subscription template,,,cloud software inc,,,
PAY_FROM_TEMPLATE,"the freight charges template for tech solutions inc is due, go ahead and run it",freight charges template,,,tech solutions inc,,,
PAY_FROM_TEMPLATE,schedule the loan emi template this friday,loan emi template,,,,,this friday,
PAY_FROM_TEMPLATE,use my monthly salary template to pay tech solutions inc,monthly salary template,,,tech solutions inc,,,
PAY_FROM_TEMPLATE,use my vendor payment template to pay oceanic exports,vendor payment template,,,oceanic exports,,,
PAY_FROM_TEMPLATE,pay the landlord using the vendor payment template,vendor payment template,,,the landlord,,,
PAY_FROM_TEMPLATE,use monthly salary template but bump the amount up to 100000 GBP,monthly salary template,100000,GBP,,,,
PAY_FROM_TEMPLATE,use the saved insurance premium template to pay the electricity board next monday,insurance premium template,,,the electricity board,,next monday,
PAY_FROM_TEMPLATE,can you run my internet bill template now,internet bill template,,,,,,
PAY_FROM_TEMPLATE,use annual maintenance template but bump the amount up to 32000 INR,annual maintenance template,32000,INR,,,,
PAY_FROM_TEMPLATE,i want to use my standing utility bills template,utility bills template,,,,,,
PAY_FROM_TEMPLATE,run the insurance premium template,insurance premium template,,,,,,
PAY_FROM_TEMPLATE,"the annual maintenance template for the landlord is due, go ahead and run it",annual maintenance template,,,the landlord,,,
PAY_FROM_TEMPLATE,use annual maintenance template from the corporate account at the end of the month,annual maintenance template,,,,the corporate account,at the end of the month,
PAY_FROM_TEMPLATE,"the tax payment template for the electricity board is due, go ahead and run it",tax payment template,,,the electricity board,,,
PAY_FROM_TEMPLATE,schedule the subscription template on the 1st of next month,subscription template,,,,,on the 1st of next month,
PAY_FROM_TEMPLATE,trigger the freight charges template tomorrow,freight charges template,,,,,tomorrow,
PAY_FROM_TEMPLATE,run the rent payment template,rent payment template,,,,,,
PAY_FROM_TEMPLATE,go ahead with the annual maintenance template,annual maintenance template,,,,,,
PAY_FROM_TEMPLATE,use the loan emi template for tech solutions inc but make it 45000 EUR,loan emi template,45000,EUR,tech solutions inc,,,
PAY_FROM_TEMPLATE,run the tax payment template tagged invoice INV-2291,tax payment template,,,,,,invoice INV-2291
PAY_FROM_TEMPLATE,fire off the tax payment template,tax payment template,,,,,,
PAY_FROM_TEMPLATE,run the annual maintenance template,annual maintenance template,,,,,,
PAY_FROM_TEMPLATE,schedule the annual maintenance template this friday,annual maintenance template,,,,,this friday,
PAY_FROM_TEMPLATE,pay from utility bills template but change the amount to 45000 EUR,utility bills template,45000,EUR,,,,
PAY_FROM_TEMPLATE,fire off the office rent template,office rent template,,,,,,
PAY_FROM_TEMPLATE,pay green energy pvt ltd using the loan emi template,loan emi template,,,green energy pvt ltd,,,
PAY_FROM_TEMPLATE,pay cloud software inc using the utility bills template,utility bills template,,,cloud software inc,,,
PAY_FROM_TEMPLATE,run the rent payment template tagged PO number 4471,rent payment template,,,,,,PO number 4471
PAY_FROM_TEMPLATE,run the internet bill template,internet bill template,,,,,,
PAY_FROM_TEMPLATE,use tax payment template but bump the amount up to 10000 EUR,tax payment template,10000,EUR,,,,
PAY_FROM_TEMPLATE,execute my saved annual maintenance template,annual maintenance template,,,,,,
PAY_FROM_TEMPLATE,go ahead with the vendor payment template,vendor payment template,,,,,,
PAY_FROM_TEMPLATE,run the monthly salary template,monthly salary template,,,,,,
PAY_FROM_TEMPLATE,use the saved office rent template to pay the electricity board tomorrow,office rent template,,,the electricity board,,tomorrow,
PAY_FROM_TEMPLATE,"the loan emi template for tech solutions inc is due, go ahead and run it",loan emi template,,,tech solutions inc,,,
PAY_FROM_TEMPLATE,pay from tax payment template but change the amount to 100000 INR,tax payment template,100000,INR,,,,
PAY_FROM_TEMPLATE,use insurance premium template from my usd account,insurance premium template,,,,my usd account,,
PAY_FROM_TEMPLATE,"the monthly salary template for cloud software inc is due, go ahead and run it",monthly salary template,,,cloud software inc,,,
PAY_FROM_TEMPLATE,use rent payment template but bump the amount up to 15000 GBP,rent payment template,15000,GBP,,,,
PAY_FROM_TEMPLATE,"the internet bill template for the electricity board is due, go ahead and run it",internet bill template,,,the electricity board,,,
PAY_FROM_TEMPLATE,use annual maintenance template but bump the amount up to 18000 USD,annual maintenance template,18000,USD,,,,
PAY_FROM_TEMPLATE,"the office rent template for the electricity board is due, go ahead and run it",office rent template,,,the electricity board,,,
PAY_FROM_TEMPLATE,pay from annual maintenance template but change the amount to 10000 dollars,annual maintenance template,10000,dollars,,,,
PAY_FROM_TEMPLATE,schedule the utility bills template on the 1st of next month,utility bills template,,,,,on the 1st of next month,
PAY_FROM_TEMPLATE,can you run my subscription template now,subscription template,,,,,,
PAY_FROM_TEMPLATE,pay our vendor using the monthly salary template,monthly salary template,,,our vendor,,,
PAY_FROM_TEMPLATE,use the insurance premium template for our vendor but make it 62000 rupees,insurance premium template,62000,rupees,our vendor,,,
PAY_FROM_TEMPLATE,trigger the office rent template tomorrow,office rent template,,,,,tomorrow,
PAY_FROM_TEMPLATE,pay xyz corp using the internet bill template,internet bill template,,,xyz corp,,,
PAY_FROM_TEMPLATE,trigger the internet bill template on the 1st of next month,internet bill template,,,,,on the 1st of next month,
PAY_FROM_TEMPLATE,use annual maintenance template from the account ending 4521,annual maintenance template,,,,the account ending 4521,,
PAY_FROM_TEMPLATE,use monthly salary template from the account ending 4521,monthly salary template,,,,the account ending 4521,,
PAY_FROM_TEMPLATE,schedule the utility bills template next monday,utility bills template,,,,,next monday,
PAY_FROM_TEMPLATE,trigger the rent payment template tomorrow,rent payment template,,,,,tomorrow,
PAY_FROM_TEMPLATE,schedule the office rent template at the end of the month,office rent template,,,,,at the end of the month,
PAY_FROM_TEMPLATE,use my freight charges template to pay tech solutions inc,freight charges template,,,tech solutions inc,,,
PAY_FROM_TEMPLATE,schedule the freight charges template next monday,freight charges template,,,,,next monday,
PAY_FROM_TEMPLATE,pay tech solutions inc using the subscription template,subscription template,,,tech solutions inc,,,
PAY_FROM_TEMPLATE,pay cloud software inc using the vendor payment template,vendor payment template,,,cloud software inc,,,
PAY_FROM_TEMPLATE,pay from monthly salary template but change the amount to 32000 EUR,monthly salary template,32000,EUR,,,,
PAY_FROM_TEMPLATE,pay the insurance company using the rent payment template,rent payment template,,,the insurance company,,,
PAY_FROM_TEMPLATE,schedule the insurance premium template at the end of the month,insurance premium template,,,,,at the end of the month,
PAY_FROM_TEMPLATE,use the saved utility bills template to pay cloud software inc next monday,utility bills template,,,cloud software inc,,next monday,
PAY_FROM_TEMPLATE,use monthly salary template but bump the amount up to 15000 USD,monthly salary template,15000,USD,,,,
PAY_FROM_TEMPLATE,"the monthly salary template for the electricity board is due, go ahead and run it",monthly salary template,,,the electricity board,,,
PAY_FROM_TEMPLATE,schedule the vendor payment template on the 1st of next month,vendor payment template,,,,,on the 1st of next month,
PAY_FROM_TEMPLATE,go ahead with the subscription template,subscription template,,,,,,
PAY_FROM_TEMPLATE,trigger the freight charges template at the end of the month,freight charges template,,,,,at the end of the month,
PAY_FROM_TEMPLATE,"the subscription template for the landlord is due, go ahead and run it",subscription template,,,the landlord,,,
PAY_FROM_TEMPLATE,use my subscription template to pay oceanic exports,subscription template,,,oceanic exports,,,
PAY_FROM_TEMPLATE,trigger the monthly salary template tomorrow,monthly salary template,,,,,tomorrow,
PAY_FROM_TEMPLATE,go ahead with the office rent template,office rent template,,,,,,
PAY_FROM_TEMPLATE,trigger the loan emi template next monday,loan emi template,,,,,next monday,
PAY_FROM_TEMPLATE,use my monthly salary template to pay green energy pvt ltd,monthly salary template,,,green energy pvt ltd,,,
PAY_FROM_TEMPLATE,schedule the tax payment template next monday,tax payment template,,,,,next monday,
PAY_FROM_TEMPLATE,trigger the tax payment template tomorrow,tax payment template,,,,,tomorrow,
PAY_FROM_TEMPLATE,schedule the insurance premium template next monday,insurance premium template,,,,,next monday,
PAY_FROM_TEMPLATE,pay the landlord using the subscription template,subscription template,,,the landlord,,,
PAY_FROM_TEMPLATE,use my office rent template to pay the insurance company,office rent template,,,the insurance company,,,
PAY_FROM_TEMPLATE,use my vendor payment template to pay the electricity board,vendor payment template,,,the electricity board,,,
PAY_FROM_TEMPLATE,use my internet bill template to pay xyz corp,internet bill template,,,xyz corp,,,
PAY_FROM_TEMPLATE,"the monthly salary template for tech solutions inc is due, go ahead and run it",monthly salary template,,,tech solutions inc,,,
PAY_FROM_TEMPLATE,"process the subscription template, reference number REF3321",subscription template,,,,,,reference number REF3321
PAY_FROM_TEMPLATE,use my vendor payment template to pay our vendor,vendor payment template,,,our vendor,,,
PAY_FROM_TEMPLATE,pay from utility bills template but change the amount to 18000 USD,utility bills template,18000,USD,,,,
PAY_FROM_TEMPLATE,"the tax payment template for oceanic exports is due, go ahead and run it",tax payment template,,,oceanic exports,,,
PAY_FROM_TEMPLATE,schedule the rent payment template on the 1st of next month,rent payment template,,,,,on the 1st of next month,
PAY_FROM_TEMPLATE,pay from utility bills template but change the amount to 10000 EUR,utility bills template,10000,EUR,,,,
PAY_FROM_TEMPLATE,pay the landlord using the annual maintenance template,annual maintenance template,,,the landlord,,,
PAY_FROM_TEMPLATE,use the saved internet bill template to pay the landlord next monday,internet bill template,,,the landlord,,next monday,
PAY_FROM_TEMPLATE,schedule the annual maintenance template on the 1st of next month,annual maintenance template,,,,,on the 1st of next month,
PAY_FROM_TEMPLATE,use my vendor payment template to pay xyz corp,vendor payment template,,,xyz corp,,,
PAY_FROM_TEMPLATE,schedule the loan emi template at the end of the month,loan emi template,,,,,at the end of the month,
PAY_FROM_TEMPLATE,pay xyz corp using the subscription template,subscription template,,,xyz corp,,,
PAY_FROM_TEMPLATE,pay from vendor payment template but change the amount to 100000 EUR,vendor payment template,100000,EUR,,,,
PAY_FROM_TEMPLATE,use my internet bill template to pay oceanic exports,internet bill template,,,oceanic exports,,,
PAY_FROM_TEMPLATE,trigger the utility bills template tomorrow,utility bills template,,,,,tomorrow,
PAY_FROM_TEMPLATE,use the saved subscription template to pay oceanic exports at the end of the month,subscription template,,,oceanic exports,,at the end of the month,
PAY_FROM_TEMPLATE,"the office rent template for our vendor is due, go ahead and run it",office rent template,,,our vendor,,,
PAY_FROM_TEMPLATE,pay xyz corp using the tax payment template,tax payment template,,,xyz corp,,,
PAY_FROM_TEMPLATE,use vendor payment template from the corporate account next monday,vendor payment template,,,,the corporate account,next monday,
PAY_FROM_TEMPLATE,fire off the monthly salary template,monthly salary template,,,,,,
PAY_FROM_TEMPLATE,pay from loan emi template but change the amount to 32000 INR,loan emi template,32000,INR,,,,
PAY_FROM_TEMPLATE,use my annual maintenance template to pay the landlord,annual maintenance template,,,the landlord,,,
PAY_FROM_TEMPLATE,"the insurance premium template for the electricity board is due, go ahead and run it",insurance premium template,,,the electricity board,,,
PAY_FROM_TEMPLATE,use the subscription template to pay the insurance company from my current account,subscription template,,,the insurance company,my current account,,
PAY_FROM_TEMPLATE,run the freight charges template,freight charges template,,,,,,
PAY_FROM_TEMPLATE,pay tech solutions inc using the office rent template,office rent template,,,tech solutions inc,,,
PAY_FROM_TEMPLATE,use internet bill template but bump the amount up to 100000 INR,internet bill template,100000,INR,,,,
PAY_FROM_TEMPLATE,"the annual maintenance template for cloud software inc is due, go ahead and run it",annual maintenance template,,,cloud software inc,,,
PAY_FROM_TEMPLATE,pay from insurance premium template but change the amount to 18000 USD,insurance premium template,18000,USD,,,,
PAY_FROM_TEMPLATE,pay the landlord using the utility bills template,utility bills template,,,the landlord,,,
PAY_FROM_TEMPLATE,"process the vendor payment template, reference number REF3321",vendor payment template,,,,,,reference number REF3321
PAY_FROM_TEMPLATE,pay xyz corp using the office rent template,office rent template,,,xyz corp,,,
PAY_FROM_TEMPLATE,use my office rent template to pay green energy pvt ltd,office rent template,,,green energy pvt ltd,,,
PAY_FROM_TEMPLATE,use my rent payment template to pay the telecom provider,rent payment template,,,the telecom provider,,,
PAY_FROM_TEMPLATE,use insurance premium template but bump the amount up to 100000 rupees,insurance premium template,100000,rupees,,,,
PAY_FROM_TEMPLATE,pay the electricity board using the utility bills template,utility bills template,,,the electricity board,,,
PAY_FROM_TEMPLATE,pay xyz corp using the annual maintenance template,annual maintenance template,,,xyz corp,,,
PAY_FROM_TEMPLATE,i want to use my standing monthly salary template,monthly salary template,,,,,,
PAY_FROM_TEMPLATE,use my utility bills template to pay the telecom provider,utility bills template,,,the telecom provider,,,
PAY_FROM_TEMPLATE,use my vendor payment template to pay the telecom provider,vendor payment template,,,the telecom provider,,,
PAY_FROM_TEMPLATE,trigger the vendor payment template tomorrow,vendor payment template,,,,,tomorrow,
PAY_FROM_TEMPLATE,use my internet bill template to pay the electricity board,internet bill template,,,the electricity board,,,
PAY_FROM_TEMPLATE,use the saved office rent template to pay the telecom provider at the end of the month,office rent template,,,the telecom provider,,at the end of the month,
PAY_FROM_TEMPLATE,pay cloud software inc using the annual maintenance template,annual maintenance template,,,cloud software inc,,,
PAY_FROM_TEMPLATE,"process the tax payment template, invoice INV-2291",tax payment template,,,,,,invoice INV-2291
PAY_FROM_TEMPLATE,use the saved loan emi template to pay cloud software inc at the end of the month,loan emi template,,,cloud software inc,,at the end of the month,
PAY_FROM_TEMPLATE,use the saved freight charges template to pay the landlord at the end of the month,freight charges template,,,the landlord,,at the end of the month,
PAY_FROM_TEMPLATE,use internet bill template but bump the amount up to 45000 GBP,internet bill template,45000,GBP,,,,
PAY_FROM_TEMPLATE,pay xyz corp using the insurance premium template,insurance premium template,,,xyz corp,,,
PAY_FROM_TEMPLATE,use my internet bill template to pay the insurance company,internet bill template,,,the insurance company,,,
PAY_FROM_TEMPLATE,use utility bills template from the corporate account,utility bills template,,,,the corporate account,,
PAY_FROM_TEMPLATE,pay our vendor using the internet bill template,internet bill template,,,our vendor,,,
PAY_FROM_TEMPLATE,use freight charges template from the corporate account next monday,freight charges template,,,,the corporate account,next monday,
PAY_FROM_TEMPLATE,use my monthly salary template to pay the insurance company,monthly salary template,,,the insurance company,,,
PAY_FROM_TEMPLATE,trigger the annual maintenance template tomorrow,annual maintenance template,,,,,tomorrow,
PAY_FROM_TEMPLATE,pay from freight charges template but change the amount to 18000 dollars,freight charges template,18000,dollars,,,,
PAY_FROM_TEMPLATE,use the saved rent payment template to pay our vendor next monday,rent payment template,,,our vendor,,next monday,
PAY_FROM_TEMPLATE,"the tax payment template for xyz corp is due, go ahead and run it",tax payment template,,,xyz corp,,,
PAY_FROM_TEMPLATE,run the internet bill template tagged PO number 4471,internet bill template,,,,,,PO number 4471
PAY_FROM_TEMPLATE,"the subscription template for tech solutions inc is due, go ahead and run it",subscription template,,,tech solutions inc,,,
PAY_FROM_TEMPLATE,use the annual maintenance template for green energy pvt ltd but make it 62000 rupees,annual maintenance template,62000,rupees,green energy pvt ltd,,,
PAY_FROM_TEMPLATE,pay from insurance premium template but change the amount to 62000 GBP,insurance premium template,62000,GBP,,,,
PAY_FROM_TEMPLATE,pay our vendor using the vendor payment template,vendor payment template,,,our vendor,,,
PAY_FROM_TEMPLATE,use freight charges template from the account ending 4521,freight charges template,,,,the account ending 4521,,
PAY_FROM_TEMPLATE,use rent payment template from the account ending 4521 at the end of the month,rent payment template,,,,the account ending 4521,at the end of the month,
PAY_FROM_TEMPLATE,use insurance premium template from the account ending 4521,insurance premium template,,,,the account ending 4521,,
PAY_FROM_TEMPLATE,schedule the monthly salary template at the end of the month,monthly salary template,,,,,at the end of the month,
PAY_FROM_TEMPLATE,use subscription template from my current account,subscription template,,,,my current account,,
PAY_FROM_TEMPLATE,run the internet bill template tagged invoice INV-2291,internet bill template,,,,,,invoice INV-2291
PAY_FROM_TEMPLATE,schedule the loan emi template next monday,loan emi template,,,,,next monday,
PAY_FROM_TEMPLATE,"the vendor payment template for the telecom provider is due, go ahead and run it",vendor payment template,,,the telecom provider,,,
PAY_FROM_TEMPLATE,use my insurance premium template to pay oceanic exports,insurance premium template,,,oceanic exports,,,
PAY_FROM_TEMPLATE,use my internet bill template to pay the telecom provider,internet bill template,,,the telecom provider,,,
PAY_FROM_TEMPLATE,pay cloud software inc using the office rent template,office rent template,,,cloud software inc,,,
PAY_FROM_TEMPLATE,pay xyz corp using the rent payment template,rent payment template,,,xyz corp,,,
PAY_FROM_TEMPLATE,schedule the loan emi template on the 1st of next month,loan emi template,,,,,on the 1st of next month,
PAY_FROM_TEMPLATE,use annual maintenance template but bump the amount up to 5000 EUR,annual maintenance template,5000,EUR,,,,
PAY_FROM_TEMPLATE,"process the freight charges template, reference number REF3321",freight charges template,,,,,,reference number REF3321
PAY_FROM_TEMPLATE,"the monthly salary template for the telecom provider is due, go ahead and run it",monthly salary template,,,the telecom provider,,,
PAY_FROM_TEMPLATE,use my insurance premium template to pay the insurance company,insurance premium template,,,the insurance company,,,
PAY_FROM_TEMPLATE,use monthly salary template but bump the amount up to 25000 dollars,monthly salary template,25000,dollars,,,,
PAY_FROM_TEMPLATE,pay tech solutions inc using the loan emi template,loan emi template,,,tech solutions inc,,,
